No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
273,1553,801,752,279,413,1,765,514,251,794,413,381,165,1
732,4277,2243,2034,712,331,0,2392,1508,884,1255,1004,251,438,0
434,2167,1144,1023,445,340,2,904,601,303,1190,677,513,379,2
4190,22292,11505,10787,4482,2446,9,9871,6326,3545,9821,5536,4285,3472,65
423,2434,1249,1185,462,51,0,1047,689,358,1342,675,667,147,75
256,1444,752,692,310,191,0,666,433,233,711,372,339,142,0
674,3577,1870,1707,701,452,0,1444,982,462,1427,946,481,564,10
300,1416,738,678,233,65,0,693,466,227,624,364,260,502,4
2236,11877,6235,5642,2074,1425,10,6259,4030,2229,4309,3113,1196,1197,13
967,5397,2764,2633,1016,620,1,2369,1549,820,2461,1441,1020,570,11
2033,11663,6077,5586,2194,1297,1,5645,3639,2006,4678,2938,1740,1609,83
834,4410,2205,2205,883,978,1,2027,1283,744,1789,1045,744,489,5
1342,6926,3573,3353,1270,1479,2,3313,2068,1245,3289,1773,1516,622,3
3194,16375,8445,7930,3089,2803,4,8180,5184,2996,6985,4320,2665,2207,14
560,2743,1433,1310,573,684,1,1082,732,350,833,637,196,568,3
2183,11726,6056,5670,2238,2287,4,5344,3324,2020,4854,2949,1905,1148,18
2187,11427,5916,5511,1907,992,0,6089,3680,2409,5632,3040,2592,1544,53
25,143,76,67,19,0,0,62,45,17,83,52,31,16,0
175,964,502,462,220,341,0,381,213,168,487,252,235,191,0
1616,8365,4303,4062,1611,1295,0,3989,2556,1433,3543,2059,1484,1124,41
40375,212127,108413,103714,40564,26366,294,99039,63135,35904,93654,53711,39943,36686,1858
40375,212127,108413,103714,40564,26366,294,99039,63135,35904,93654,53711,39943,36686,1858
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,9245,4733,4512,1838,941,2,3865,2407,1458,4109,2307,1802,1543,302
129,817,421,396,139,90,0,430,271,159,204,196,8,195,1
1615,9412,4771,4641,2007,735,1,4396,2880,1516,4669,2476,2193,1877,101
156,1071,572,499,205,0,0,353,253,100,357,272,85,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,463,228,235,105,356,0,157,87,70,211,109,102,98,0
7652,39855,20448,19407,7442,5193,218,19018,12224,6794,17460,10139,7321,5379,411
3143,16080,8257,7823,2811,2889,46,8877,5350,3527,5553,3918,1635,1663,158
1472,8606,4467,4139,1515,601,0,3332,2171,1161,2766,2131,635,1340,8
250,1551,782,769,370,71,2,628,396,232,686,374,312,139,0
1946,11380,5737,5643,2408,410,0,5563,3513,2050,4948,2786,2162,1770,252
1353,6513,3240,3273,1318,447,0,3115,1724,1391,2053,1474,579,1136,13
3824,18836,9651,9185,3757,2297,3,8666,5582,3084,9250,4703,4547,3253,100
113,639,322,317,133,38,0,375,227,148,302,162,140,206,0
200,1084,564,520,228,182,4,413,283,130,416,261,155,298,1
535,2717,1378,1339,583,296,1,1151,785,366,1388,705,683,433,6
253,1181,582,599,321,108,0,435,305,130,582,270,312,123,0
248,1293,649,644,336,308,0,565,386,179,620,320,300,140,1
1025,5501,2863,2638,1158,1157,2,2286,1540,746,2875,1471,1404,783,13
581,3147,1603,1544,572,309,0,1226,843,383,1446,761,685,292,2
605,2907,1515,1392,643,181,0,1034,730,304,1561,796,765,184,0
600,3005,1572,1433,513,107,0,1420,903,517,1530,816,714,1221,11
398,1912,974,938,358,153,0,1007,611,396,546,466,80,525,0
174,923,467,456,192,32,0,297,176,121,434,209,225,115,9
615,3273,1666,1607,629,742,0,1370,921,449,1586,807,779,792,1
338,1709,881,828,307,483,0,737,482,255,909,474,435,271,94
569,2911,1516,1395,525,279,1,1309,862,447,1287,757,530,808,8
515,2599,1330,1269,413,595,0,1385,885,500,1342,738,604,622,6
763,4412,2184,2228,791,1253,7,1908,1219,689,1941,1094,847,894,31
319,1729,870,859,338,248,2,740,475,265,931,455,476,608,4
195,1167,577,590,263,43,0,310,210,100,531,283,248,369,0
236,1249,648,601,196,521,0,622,382,240,560,327,233,428,2
466,2572,1314,1258,514,504,0,1000,657,343,728,563,165,294,2
435,2342,1191,1151,450,347,0,1275,837,438,612,542,70,259,2
475,2299,1218,1081,393,596,0,1129,727,402,900,557,343,628,11
696,3588,1856,1732,576,349,0,2056,1263,793,1459,911,548,771,4
485,2489,1281,1208,424,149,0,1139,741,398,1365,754,611,479,0
736,3776,1910,1866,608,215,0,2026,1195,831,2082,1162,920,1295,23
697,3582,1755,1827,659,0,0,1986,1072,914,1475,882,593,514,2
171,892,485,407,149,0,0,508,373,135,443,246,197,89,0
2253,10761,5457,5304,2113,1364,5,5047,3341,1706,5131,2700,2431,1990,249
722,3517,1789,1728,631,432,0,1691,1067,624,1725,905,820,887,12
496,2507,1293,1214,437,1010,0,1154,749,405,1289,676,613,276,2
150,850,438,412,158,6,0,402,267,135,411,211,200,290,0
1099,5765,2958,2807,1038,329,0,2636,1763,873,2981,1545,1436,1382,16
42295,208317,107031,101286,39796,22849,577,92892,60927,31965,96794,52967,43827,37894,842
42295,208317,107031,101286,39796,22849,577,92892,60927,31965,96794,52967,43827,37894,842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1968,1021,947,370,164,2,1058,671,387,726,502,224,201,3
807,3961,2073,1888,673,266,0,2287,1401,886,1801,976,825,445,20
324,1334,693,641,269,233,0,442,312,130,696,372,324,63,1
209,1155,578,577,204,216,1,479,335,144,553,313,240,419,0
277,1236,625,611,230,21,0,586,372,214,624,330,294,90,2
102,540,284,256,113,10,0,193,136,57,290,157,133,16,0
1031,4545,2311,2234,895,647,0,2004,1324,680,2276,1179,1097,1293,7
196,1008,500,508,218,94,0,462,306,156,465,278,187,269,3
1187,5500,2774,2726,1183,691,2,2510,1545,965,2180,1323,857,933,12
1050,5337,2739,2598,1019,502,2,2022,1401,621,2748,1427,1321,877,12
683,3221,1698,1523,649,273,0,1252,869,383,1744,948,796,347,79
253,1493,774,719,337,0,0,771,500,271,625,309,316,98,3
298,1428,716,712,273,185,0,624,440,184,621,396,225,285,2
224,1002,511,491,243,14,0,474,340,134,463,237,226,145,1
323,1641,875,766,316,477,8,787,521,266,915,464,451,387,0
378,1790,932,858,381,314,0,806,574,232,828,460,368,242,2
821,4175,2128,2047,730,125,0,1619,1076,543,2407,1218,1189,611,4
164,841,430,411,198,162,0,288,189,99,444,223,221,22,0
867,4031,2045,1986,843,743,0,1974,1309,665,1759,964,795,208,3
1131,5259,2675,2584,940,512,5,2433,1605,828,2383,1424,959,698,3
186,916,488,428,191,132,0,426,286,140,500,253,247,97,0
1065,5651,2949,2702,988,817,2,2489,1672,817,2872,1478,1394,2133,10
565,3111,1560,1551,547,321,0,1243,809,434,1547,776,771,923,3
573,3072,1623,1449,496,75,0,1505,1008,497,1394,780,614,897,27
924,4542,2326,2216,936,644,1,2132,1434,698,2133,1061,1072,740,46
69,333,172,161,51,0,0,204,132,72,138,68,70,17,0
175,903,481,422,186,0,0,357,225,132,417,213,204,168,0
894,4238,2129,2109,869,786,1,1740,1144,596,1846,997,849,1070,89
47,230,111,119,49,190,0,42,27,15,120,58,62,53,0
730,3854,1993,1861,660,684,3,1501,1039,462,1977,989,988,835,23
757,3753,1905,1848,710,205,0,1756,1144,612,1896,1070,826,1013,17
800,3901,2023,1878,623,1021,5,1614,1039,575,1486,880,606,534,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,9395,4883,4512,1789,1130,0,4296,2793,1503,4643,2383,2260,2091,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,4767,2456,2311,917,225,0,2405,1542,863,2627,1315,1312,1041,21
305,1271,652,619,268,128,0,527,376,151,599,305,294,579,0
582,2709,1337,1372,558,497,0,965,652,313,1284,625,659,581,0
329,1784,941,843,349,15,0,686,496,190,613,385,228,104,1
1396,7033,3664,3369,1444,170,0,2843,1964,879,3513,1809,1704,1025,11
113,536,276,260,130,113,0,199,135,64,243,117,126,135,0
242,1154,575,579,190,55,78,479,304,175,582,283,299,151,0
2823,12925,6693,6232,2538,1929,2,5796,3760,2036,5492,3220,2272,1758,7
278,1287,659,628,205,71,0,745,462,283,601,349,252,98,36
400,2140,1069,1071,465,195,0,998,682,316,1137,534,603,643,6
307,1365,673,692,292,156,0,567,379,188,730,359,371,479,6
464,2287,1144,1143,425,337,0,1079,719,360,1122,564,558,358,2
461,2211,1101,1110,392,149,0,1079,659,420,955,507,448,408,0
300,1429,735,694,266,156,1,770,529,241,675,395,280,242,0
627,2910,1483,1427,595,326,0,1170,810,360,1411,709,702,1062,16
305,1692,845,847,313,92,0,869,570,299,852,422,430,317,3
482,2553,1323,1230,519,280,0,1255,813,442,1011,588,423,581,5
228,1120,585,535,216,32,0,493,324,169,567,288,279,318,0
497,2568,1310,1258,467,219,0,1178,749,429,1245,633,612,178,1
302,1732,889,843,348,153,2,671,438,233,900,456,444,243,0
274,1442,741,701,260,81,32,636,399,237,743,374,369,138,0
2321,11196,5798,5398,1873,1806,410,5359,3479,1880,4086,2827,1259,1362,16
598,2955,1545,1410,558,28,0,1353,897,456,946,697,249,307,8
472,2385,1211,1174,423,553,1,1034,671,363,1047,592,455,323,12
2762,13740,7019,6721,2646,1011,18,5899,3637,2262,5817,3340,2477,2516,114
294,1586,793,793,327,317,0,655,444,211,828,405,423,427,4
300,1554,798,756,279,359,0,731,484,247,753,418,335,172,7
409,1924,991,933,347,129,0,990,608,382,1218,613,605,619,0
377,2030,1047,983,362,66,0,1148,699,449,851,464,387,221,2
406,2094,1122,972,429,164,0,934,646,288,1034,557,477,337,4
3203,16574,8531,8043,3216,1383,1,7003,4622,2381,7795,4311,3484,2951,126
32889,166018,86249,79769,29594,15999,40,80840,51925,28915,72239,42109,30130,27412,586
32889,166018,86249,79769,29594,15999,40,80840,51925,28915,72239,42109,30130,27412,586
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,3943,2050,1893,678,643,2,2120,1313,807,1732,941,791,483,15
272,1389,745,644,201,128,2,935,553,382,562,350,212,151,13
462,2607,1347,1260,457,281,0,1306,875,431,1417,746,671,989,20
178,992,515,477,158,31,0,554,361,193,385,232,153,316,0
1760,9441,4876,4565,1609,406,0,4741,2903,1838,3730,2492,1238,1337,12
533,2488,1301,1187,486,738,0,1181,772,409,714,615,99,143,11
459,2392,1249,1143,488,98,0,1128,728,400,911,550,361,306,3
2038,10072,5268,4804,1811,400,0,4775,3178,1597,4204,2569,1635,898,28
608,2874,1464,1410,556,81,0,1348,869,479,1166,665,501,778,4
2153,10358,5423,4935,1726,818,2,5594,3553,2041,4881,2744,2137,2079,115
1298,6279,3252,3027,1112,765,0,3123,2069,1054,2844,1574,1270,1143,4
747,3322,1724,1598,599,149,0,1556,1016,540,1608,817,791,476,14
3174,14602,7550,7052,2794,1634,18,6237,3955,2282,7154,3904,3250,2504,47
49,227,126,101,44,65,0,106,68,38,61,56,5,27,1
54,248,135,113,62,0,0,59,40,19,91,61,30,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,446,235,211,17,0,0,317,192,125,125,114,11,55,0
2207,11314,5834,5480,2061,1002,2,4870,3118,1752,5994,3104,2890,2522,25
213,1099,585,514,200,59,0,401,260,141,419,272,147,368,3
694,3206,1657,1549,536,460,0,1707,1115,592,1252,774,478,553,5
247,1187,613,574,177,0,0,623,413,210,610,309,301,339,4
108,584,300,284,122,42,0,256,171,85,311,158,153,77,0
1499,7129,3718,3411,1242,651,0,3594,2303,1291,2990,1851,1139,502,44
940,5009,2602,2407,1025,703,0,1863,1286,577,2356,1247,1109,1098,12
550,2963,1524,1439,605,147,0,1236,838,398,1540,795,745,240,1
1411,7533,3950,3583,1255,728,1,3841,2440,1401,2868,1846,1022,1086,10
2087,10514,5418,5096,1804,1080,3,5923,3593,2330,4203,2318,1885,1107,45
189,1158,601,557,196,89,1,578,384,194,390,274,116,179,55
189,954,511,443,195,0,0,550,348,202,276,204,72,129,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,3677,1973,1704,620,925,1,1859,1232,627,1410,877,533,1056,2
1502,8601,4405,4196,1654,807,0,3916,2588,1328,3384,2089,1295,1542,13
60,318,170,148,63,144,0,178,115,63,126,85,41,63,3
574,3480,1845,1635,587,373,1,1843,1197,646,1542,877,665,331,27
458,2316,1201,1115,387,181,0,1195,780,415,1133,592,541,394,1
712,3775,1965,1810,580,230,5,2191,1369,822,1727,1025,702,1105,2
425,2498,1275,1223,414,0,0,1311,847,464,1012,616,396,396,9
1311,6839,3537,3302,1167,801,1,3398,2206,1192,2758,1809,949,852,16
725,3357,1736,1621,662,263,0,1442,928,514,1382,867,515,573,4
292,1656,861,795,246,223,1,818,540,278,645,380,265,118,1
884,4263,2230,2033,837,701,0,1827,1194,633,2021,1096,925,811,13
200,908,478,430,161,153,0,340,215,125,305,214,91,236,0
43523,217331,111970,105361,39020,27346,180,105011,66271,38740,82209,54304,27905,31580,1282
43523,217331,111970,105361,39020,27346,180,105011,66271,38740,82209,54304,27905,31580,1282
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,6181,3019,3162,1087,864,5,2976,1866,1110,2651,1381,1270,1748,39
336,1385,725,660,197,135,1,852,516,336,422,365,57,163,1
1814,8896,4666,4230,1586,460,1,4242,2681,1561,3055,2307,748,1834,13
447,2118,1120,998,386,50,0,1107,696,411,641,526,115,261,0
509,2704,1381,1323,570,675,5,958,666,292,922,653,269,183,25
117,523,269,254,90,0,0,277,158,119,254,129,125,122,0
202,1039,533,506,212,477,0,370,228,142,250,238,12,220,0
1095,4734,2249,2485,854,588,4,2312,1318,994,1571,943,628,440,64
107,417,180,237,74,9,0,246,136,110,82,70,12,39,0
1257,6919,3587,3332,1385,1485,1,3062,1983,1079,2821,1751,1070,982,19
304,1311,643,668,218,199,0,573,351,222,734,345,389,84,0
1352,6881,3577,3304,1290,409,1,2793,1803,990,2561,1615,946,817,29
546,2586,1318,1268,566,948,0,1349,869,480,895,600,295,175,1
1492,7240,3639,3601,1483,498,3,2971,1884,1087,2677,1698,979,690,7
1143,5696,3018,2678,1105,693,1,2530,1700,830,2120,1470,650,1141,30
1402,7524,3897,3627,1531,767,0,3073,1993,1080,2431,1862,569,669,11
63,343,184,159,54,264,0,149,102,47,98,93,5,81,0
251,1257,623,634,255,0,0,565,346,219,318,291,27,6,0
152,804,407,397,77,17,0,492,295,197,326,220,106,3,0
427,2468,1230,1238,428,611,0,998,581,417,887,603,284,412,1
1898,8936,4723,4213,1447,1424,1,5128,3168,1960,4039,2320,1719,1999,3
686,3669,1848,1821,596,207,0,2012,1197,815,1114,871,243,158,5
1765,8669,4489,4180,1692,1378,6,4065,2577,1488,4552,2470,2082,1855,24
581,2658,1359,1299,475,200,94,1182,720,462,1172,715,457,292,200
46,257,132,125,39,55,0,133,77,56,119,60,59,4,23
320,1701,905,796,260,0,0,756,492,264,804,422,382,112,86
461,2213,1171,1042,431,78,0,1158,766,392,1090,558,532,400,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1616,826,790,305,84,0,743,484,259,398,379,19,210,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,4308,2241,2067,737,506,4,2230,1421,809,1518,1078,440,499,18
