No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
27691,134704,68909,65795,25224,21046,76,63177,38345,24832,47710,32361,15349,18301,765
27691,134704,68909,65795,25224,21046,76,63177,38345,24832,47710,32361,15349,18301,765
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,4988,2576,2412,997,583,7,2113,1323,790,1771,1193,578,763,27
449,2223,1094,1129,475,16,0,817,478,339,816,486,330,357,16
1362,6739,3529,3210,1228,489,9,3612,2217,1395,2059,1690,369,687,194
273,1249,695,554,248,34,0,648,407,241,736,386,350,118,0
97,406,188,218,62,1,1,202,115,87,210,106,104,67,14
186,1020,516,504,207,86,0,364,235,129,321,234,87,157,0
2913,14385,7149,7236,2773,2366,16,6130,3714,2416,4745,3115,1630,2185,55
415,1913,1013,900,324,55,0,989,619,370,881,577,304,71,95
467,2111,1091,1020,304,561,0,777,466,311,1020,524,496,142,6
247,1348,716,632,257,64,1,586,413,173,656,340,316,214,0
883,4521,2339,2182,922,723,3,1636,1104,532,1818,1065,753,1025,20
65,291,145,146,49,89,0,132,72,60,145,73,72,44,0
851,4397,2218,2179,978,1098,1,1655,1023,632,2212,1090,1122,804,6
1295,6190,3232,2958,1208,1512,4,2958,1868,1090,1891,1481,410,922,11
2833,14368,7463,6905,2398,1732,0,7751,4687,3064,4697,3491,1206,1765,38
472,2897,1481,1416,500,159,0,1444,906,538,1109,688,421,784,4
190,988,524,464,142,62,0,583,383,200,365,278,87,128,1
350,1582,780,802,294,553,2,786,448,338,374,331,43,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,2670,1358,1312,466,209,0,1272,817,455,942,634,308,381,4
20,83,45,38,14,13,0,48,32,16,42,22,20,42,0
586,2330,1194,1136,307,165,0,1548,862,686,826,572,254,105,0
695,3641,1754,1887,716,493,5,1494,890,604,1198,729,469,379,0
1343,6203,3050,3153,1320,1797,3,2511,1476,1035,1783,1331,452,545,11
440,2259,1187,1072,414,399,1,1158,739,419,723,541,182,166,3
498,2005,1049,956,343,384,0,1167,690,477,825,552,273,281,0
1353,6587,3382,3205,1237,437,2,2860,1785,1075,2393,1679,714,1274,35
167,864,439,425,193,108,0,266,156,110,246,190,56,85,0
253,1320,638,682,267,697,0,537,306,231,497,288,209,295,2
169,823,433,390,191,538,0,395,245,150,358,196,162,219,5
310,1397,682,715,302,229,2,599,315,284,697,329,368,377,13
504,2299,1169,1130,513,381,1,928,560,368,792,497,295,94,9
341,1649,833,816,370,757,1,761,462,299,608,392,216,260,0
657,3363,1740,1623,510,539,8,1842,1081,761,1087,848,239,182,22
121,504,234,270,87,124,0,291,152,139,165,128,37,38,0
292,1295,652,643,241,197,0,670,382,288,297,288,9,75,6
1471,6397,3379,3018,1168,788,5,3303,1964,1339,2195,1730,465,683,4
293,1317,717,600,198,295,1,692,418,274,343,322,21,41,1
763,3785,2013,1772,622,1010,2,2120,1212,908,1486,957,529,727,72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,3537,1782,1755,593,410,0,1947,1180,767,1215,852,363,300,30
435,2102,1094,1008,411,181,0,916,574,342,944,566,378,390,1
1357,6658,3336,3322,1375,712,1,2669,1569,1100,2222,1570,652,1088,60
37312,196251,101522,94729,36980,22164,36,88923,56492,32431,67968,48302,19666,24544,1055
37312,196251,101522,94729,36980,22164,36,88923,56492,32431,67968,48302,19666,24544,1055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,4564,2310,2254,933,206,0,2217,1413,804,1877,1158,719,745,1
885,4006,2062,1944,840,292,0,1684,1055,629,1465,913,552,375,10
1693,8172,4298,3874,1384,1087,0,4106,2568,1538,2643,1983,660,1270,22
1633,8772,4535,4237,1771,748,1,3810,2544,1266,2868,2161,707,541,2
496,2417,1248,1169,526,67,0,949,600,349,772,615,157,431,5
707,4237,2162,2075,790,270,0,1846,1148,698,1376,1028,348,481,12
392,1924,975,949,399,82,0,841,514,327,535,448,87,133,0
346,1976,1012,964,391,429,0,990,639,351,1019,538,481,389,20
1012,5796,3019,2777,1214,571,0,2372,1620,752,1599,1397,202,475,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,2905,1515,1390,537,452,0,1405,897,508,838,671,167,377,76
402,1938,1014,924,270,381,0,777,482,295,468,451,17,12,1
225,1485,787,698,258,446,0,709,445,264,373,226,147,26,3
82,440,218,222,90,0,0,186,106,80,237,121,116,165,7
447,2299,1201,1098,450,535,0,993,661,332,923,567,356,335,137
701,3382,1779,1603,604,494,0,1850,1157,693,1608,884,724,479,22
185,1412,746,666,239,129,0,699,464,235,859,453,406,487,0
81,510,274,236,69,0,0,223,157,66,281,158,123,16,0
712,3856,2017,1839,753,1015,2,1495,998,497,1248,990,258,801,9
770,3833,2008,1825,590,969,0,2108,1308,800,1726,1100,626,814,27
2083,12106,6300,5806,2615,910,2,4448,2886,1562,3868,2791,1077,1142,23
1641,9249,4803,4446,1602,639,1,4725,3027,1698,2776,2224,552,693,0
1177,5638,2924,2714,1021,695,1,2478,1560,918,2084,1375,709,644,27
1378,7523,3911,3612,1548,1026,2,3036,1961,1075,2376,1713,663,743,13
724,3947,2068,1879,682,488,1,1696,1164,532,1346,982,364,605,15
1698,9599,4958,4641,2056,371,0,3844,2573,1271,3559,2320,1239,1461,50
983,4946,2558,2388,806,1435,0,2537,1545,992,1584,1252,332,469,32
340,1638,831,807,230,226,1,827,471,356,691,439,252,232,2
714,3585,1852,1733,649,553,1,1911,1147,764,1124,880,244,600,2
533,3253,1674,1579,690,277,0,1512,1017,495,1078,824,254,419,61
1808,10361,5440,4921,1820,1187,0,4881,2997,1884,3355,2587,768,1385,171
888,4594,2326,2268,802,186,0,2231,1373,858,1333,1121,212,229,42
2950,15209,7710,7499,2888,1688,1,6363,3948,2415,4975,3655,1320,1838,56
547,2734,1428,1306,522,365,1,1424,893,531,1174,710,464,87,4
640,3035,1608,1427,463,838,4,1484,921,563,1909,1065,844,1621,53
1228,5993,3116,2877,1131,918,8,2707,1699,1008,1935,1473,462,635,9
859,4107,2084,2023,707,708,1,2131,1278,853,1240,1099,141,633,0
1342,6292,3258,3034,1121,318,6,2987,1832,1155,2270,1622,648,1320,13
505,2839,1490,1349,482,58,2,1670,1002,668,1111,686,425,365,2
614,3120,1643,1477,562,183,0,1531,980,551,1023,707,316,20,7
59,300,161,139,55,98,0,172,113,59,77,76,1,0,0
329,1889,985,904,292,14,0,776,535,241,780,497,283,152,13
194,1126,609,517,196,278,0,513,352,161,423,266,157,34,11
1699,9244,4605,4639,1932,532,1,3779,2442,1337,3162,2076,1086,865,46
33355,173499,90774,82725,31915,24232,239,82953,51976,30977,64512,44896,19616,26234,986
33355,173499,90774,82725,31915,24232,239,82953,51976,30977,64512,44896,19616,26234,986
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,5780,3042,2738,1110,818,1,2497,1676,821,1884,1448,436,1160,52
445,2385,1225,1160,443,385,1,924,604,320,734,578,156,527,7
354,1807,914,893,315,457,0,781,494,287,752,494,258,261,0
1999,9649,4980,4669,1866,1072,0,4417,2779,1638,3456,2394,1062,1792,17
43,236,131,105,36,0,0,85,61,24,132,72,60,129,0
1262,6231,3272,2959,1157,908,0,3324,2041,1283,2143,1529,614,697,73
990,5161,2726,2435,852,644,6,3083,1917,1166,1843,1370,473,456,94
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,1688,861,827,330,301,1,639,414,225,431,397,34,109,0
744,3896,2025,1871,815,221,0,1692,1103,589,2336,1219,1117,1973,3
1145,5941,3087,2854,1133,987,4,2679,1722,957,2429,1601,828,1095,10
478,2811,1492,1319,584,412,1,1102,717,385,1160,706,454,664,51
300,1655,864,791,279,0,0,926,564,362,1079,560,519,508,2
626,3371,1801,1570,554,930,0,1616,1049,567,1558,908,650,950,3
2121,10819,5725,5094,1991,2039,2,4690,3016,1674,3859,2740,1119,1932,5
1549,8732,4511,4221,1602,1123,2,3840,2366,1474,3406,2212,1194,1899,18
277,1575,815,760,260,285,0,794,457,337,612,409,203,23,23
1976,9809,5208,4601,1519,750,22,5615,3475,2140,4010,2662,1348,852,162
936,4735,2499,2236,799,554,2,2322,1422,900,2401,1489,912,183,14
677,3726,1949,1777,710,742,0,1608,999,609,1150,1002,148,548,17
1495,8431,4451,3980,1699,1311,0,3744,2415,1329,2833,2052,781,1026,11
377,1978,1058,920,383,75,0,842,559,283,602,553,49,390,0
1482,7921,4145,3776,1641,629,166,3662,2321,1341,2534,1892,642,1231,11
4526,24424,12736,11688,4563,3837,10,12185,7569,4616,9208,6409,2799,2124,210
1676,9065,4799,4266,1555,1173,0,4277,2691,1586,2989,2331,658,1857,27
574,3016,1521,1495,660,172,0,1282,789,493,1041,692,349,421,3
50,294,155,139,59,0,0,104,62,42,91,83,8,75,0
1267,5701,2881,2820,1003,1044,8,3166,1789,1377,1839,1348,491,449,16
501,2588,1371,1217,526,495,0,1004,659,345,1029,656,373,563,1
1059,5005,2644,2361,736,957,11,2884,1718,1166,1665,1208,457,545,83
759,3965,2138,1827,761,436,2,1568,1048,520,1372,1015,357,552,9
568,2951,1578,1373,476,318,0,1442,963,479,913,769,144,171,1
1251,6125,3150,2975,1115,663,0,3087,1892,1195,2451,1649,802,902,62
431,2028,1020,1008,383,494,0,1072,625,447,570,449,121,170,1
33889,171918,90713,81205,33278,19470,125,78583,50623,27960,61904,42849,19055,24918,1138
33889,171918,90713,81205,33278,19470,125,78583,50623,27960,61904,42849,19055,24918,1138
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,2172,1138,1034,331,135,0,1142,721,421,840,566,274,299,7
985,4068,2123,1945,742,875,1,1828,1101,727,1478,1092,386,482,2
380,1486,773,713,258,378,0,763,451,312,610,417,193,94,3
750,3427,1836,1591,587,583,0,1695,1082,613,983,903,80,542,11
4945,26338,13909,12429,5504,1412,58,10639,7032,3607,9187,6560,2627,4219,277
532,2890,1526,1364,597,108,0,1181,787,394,1146,711,435,464,48
770,3699,1937,1762,816,1068,2,1323,911,412,1463,920,543,555,11
1586,8423,4444,3979,1590,723,4,3341,2160,1181,3331,2175,1156,1643,17
259,1500,786,714,319,25,0,479,353,126,789,405,384,583,14
2195,11502,6099,5403,2286,1851,4,5371,3446,1925,4082,2817,1265,1639,6
202,991,519,472,235,0,0,335,232,103,291,226,65,46,1
2490,12076,6356,5720,2250,1525,2,6460,4002,2458,3778,2928,850,1201,75
1348,6547,3452,3095,1235,949,2,3364,2115,1249,2078,1668,410,870,16
2496,12282,6514,5768,2106,839,0,6583,4123,2460,3522,3061,461,901,39
1245,6418,3397,3021,1170,472,0,2924,1943,981,2364,1591,773,938,94
134,706,359,347,116,0,0,178,113,65,215,207,8,86,32
2117,11680,6048,5632,2306,973,0,4588,2995,1593,4672,2852,1820,1697,100
1343,6629,3500,3129,1180,1611,6,3575,2222,1353,2697,1651,1046,1062,53
2566,12853,6822,6031,2356,2176,0,6547,4242,2305,4819,3267,1552,1879,58
6271,32293,17109,15184,6460,3174,46,14088,9216,4872,11971,7895,4076,4894,256
820,3938,2066,1872,834,593,0,2179,1376,803,1588,937,651,824,18
33560,175561,90896,84665,32888,26668,51,82270,52464,29806,74185,44729,29456,23034,930
33560,175561,90896,84665,32888,26668,51,82270,52464,29806,74185,44729,29456,23034,930
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,5043,2581,2462,993,833,1,2445,1525,920,1740,1218,522,779,15
1050,5240,2706,2534,964,1344,1,2121,1383,738,2593,1356,1237,858,8
1896,9254,4810,4444,1678,1710,0,4222,2672,1550,4269,2471,1798,1815,86
2065,9225,4746,4479,1578,1565,6,4334,2688,1646,3669,2374,1295,1417,403
709,4074,2119,1955,799,198,1,1481,986,495,1371,918,453,232,4
334,1621,836,785,324,568,1,751,461,290,657,344,313,126,0
631,3429,1790,1639,625,760,0,1494,979,515,1153,823,330,133,1
1215,6499,3421,3078,1209,1200,5,2900,1948,952,2626,1619,1007,580,12
