No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
55344,282127,147972,134155,62816,76228,132,103835,64590,39245,97386,66326,31060,26498,1564
55344,282127,147972,134155,62816,76228,132,103835,64590,39245,97386,66326,31060,26498,1564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,4750,2496,2254,1079,1594,0,1805,1068,737,1772,1134,638,216,2
1933,10399,5553,4846,2535,5571,2,3644,2255,1389,3859,2397,1462,1370,16
1368,7713,4026,3687,1964,2585,6,1832,1162,670,3223,1892,1331,1159,19
539,2648,1404,1244,713,1724,0,1053,659,394,915,607,308,342,1
321,1797,943,854,462,563,0,804,483,321,604,429,175,192,51
3616,17531,9179,8352,3760,4338,11,6576,4112,2464,6183,4193,1990,1848,168
1179,6554,3509,3045,1415,1570,1,2369,1605,764,2220,1503,717,34,7
3182,15525,8266,7259,3232,2297,3,6918,4159,2759,5418,3720,1698,1444,261
1253,7125,3761,3364,1610,2000,0,2812,1782,1030,2099,1656,443,647,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,6528,3383,3145,1643,4555,2,1984,1242,742,1924,1404,520,997,7
472,2446,1341,1105,647,1241,0,527,341,186,1142,612,530,228,6
3550,19001,10012,8989,4319,4084,20,6495,4225,2270,5995,4322,1673,2216,59
2027,10509,5528,4981,2358,3488,43,3524,2279,1245,3705,2582,1123,1397,34
252,1180,608,572,318,119,0,298,215,83,321,268,53,119,0
856,4452,2256,2196,988,390,0,1309,850,459,1605,1003,602,699,5
2889,16057,8359,7698,3655,3748,0,5953,3535,2418,5221,3761,1460,1428,40
2486,11982,6333,5649,2587,1648,1,4483,2824,1659,4727,2859,1868,992,27
1933,9833,5114,4719,2035,1974,0,3547,2224,1323,3995,2371,1624,1498,91
1534,7660,3981,3679,1889,3876,0,2292,1426,866,3044,1895,1149,773,13
1165,6005,3164,2841,1457,1235,1,1867,1246,621,2239,1327,912,344,17
1712,8696,4480,4216,1840,1258,0,3276,1978,1298,2752,2057,695,323,36
534,2464,1262,1202,609,455,0,835,510,325,724,579,145,563,0
1114,5899,3072,2827,1396,208,0,1480,936,544,1542,1388,154,321,9
884,4459,2356,2103,1038,1213,0,996,619,377,1073,981,92,278,7
348,1851,1009,842,381,60,0,723,469,254,497,433,64,149,0
725,3840,2046,1794,789,753,0,1144,722,422,1126,854,272,176,7
1878,9005,4682,4323,1701,1050,0,4404,2586,1818,2884,2044,840,588,40
584,2671,1421,1250,568,199,0,996,611,385,950,673,277,62,19
1073,5182,2533,2649,1165,1569,2,2195,1287,908,2105,1123,982,334,193
347,1536,807,729,309,156,0,724,444,280,445,348,97,93,9
640,2788,1475,1313,535,298,0,1170,749,421,1023,700,323,202,9
935,4530,2416,2114,933,737,0,2160,1341,819,1558,1075,483,66,38
1546,7561,3950,3611,1762,1246,0,2949,1871,1078,2741,1818,923,300,18
1887,9197,4923,4274,1777,914,0,4529,2827,1702,3029,2218,811,508,80
816,3706,1952,1754,720,647,0,1830,1072,758,1600,963,637,304,161
323,1452,767,685,252,513,0,644,405,239,460,358,102,191,6
1438,7108,3724,3384,1445,2616,0,3102,1885,1217,2581,1769,812,116,64
1341,7009,3633,3376,1564,2889,0,2263,1491,772,2258,1543,715,251,0
2596,12914,6697,6217,2876,6077,30,4987,3032,1955,4417,3081,1336,1930,10
581,3535,1826,1709,912,1191,0,721,444,277,1147,742,405,638,4
453,2331,1241,1090,556,2190,7,686,455,231,709,515,194,497,9
191,976,515,461,211,247,0,446,245,201,360,243,117,204,0
312,1596,840,756,334,664,0,631,359,272,541,381,160,295,4
427,2126,1129,997,477,478,3,852,560,292,653,505,148,166,2
65942,331952,176129,155823,67759,55693,81,146238,88107,58131,110056,79072,30984,29838,2009
65942,331952,176129,155823,67759,55693,81,146238,88107,58131,110056,79072,30984,29838,2009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1420,744,676,313,434,0,559,307,252,457,303,154,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,8518,4456,4062,2149,3133,1,2043,1360,683,3077,1975,1102,624,33
2378,12203,6432,5771,2589,1833,0,4928,2998,1930,3828,2812,1016,483,11
5337,28508,15225,13283,6220,2186,0,12593,7564,5029,9871,6852,3019,2392,119
2569,13749,7341,6408,2887,1914,1,5441,3340,2101,4463,3325,1138,779,53
603,3008,1595,1413,736,2063,1,1268,771,497,1153,659,494,522,19
713,3227,1699,1528,681,1055,0,1242,764,478,1241,792,449,392,15
418,1909,991,918,430,1111,0,803,475,328,613,420,193,206,20
294,1410,783,627,383,929,0,307,221,86,490,347,143,435,0
472,2622,1378,1244,636,1064,0,1468,847,621,798,575,223,168,81
818,3686,1950,1736,705,1360,0,1503,938,565,1356,895,461,528,2
3215,14964,7912,7052,2886,2489,1,6402,3889,2513,5104,3673,1431,1550,54
2758,13382,7074,6308,2719,4551,1,6035,3551,2484,4065,3169,896,1219,56
1477,6803,3547,3256,1534,1923,4,1942,1213,729,2087,1540,547,674,10
1269,6198,3341,2857,1200,525,1,2939,1810,1129,2118,1629,489,872,26
2463,12829,6885,5944,2481,982,0,6013,3694,2319,4320,3123,1197,761,282
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,8680,4593,4087,1675,508,0,4342,2540,1802,2503,1910,593,612,40
236,1125,615,510,248,0,0,277,184,93,331,303,28,205,0
2184,10080,5348,4732,2027,1533,4,5092,3028,2064,4404,2431,1973,2083,83
497,2346,1206,1140,504,209,0,1170,722,448,819,581,238,294,9
2052,10585,5623,4962,2167,3080,2,4525,2797,1728,3489,2534,955,1231,25
1217,6138,3244,2894,1360,950,0,1879,1174,705,2448,1478,970,683,5
1337,6659,3498,3161,1392,815,0,2291,1449,842,2382,1545,837,845,39
4412,21643,11433,10210,4395,4700,3,8776,5257,3519,8236,5420,2816,2394,83
178,839,378,461,175,355,0,272,147,125,339,194,145,136,0
269,1427,748,679,336,59,0,535,313,222,448,358,90,50,0
773,4456,2390,2066,883,148,0,2178,1341,837,1247,1050,197,242,46
331,1672,907,765,383,183,0,757,441,316,485,391,94,147,6
195,1109,618,491,245,0,0,471,298,173,521,295,226,102,4
1243,6034,3248,2786,1132,2037,0,2841,1706,1135,2345,1571,774,691,68
697,3554,1896,1658,743,51,0,1382,816,566,936,749,187,416,15
556,2559,1297,1262,561,0,0,1059,601,458,934,586,348,439,5
1570,7926,4137,3789,1637,856,0,3319,2001,1318,1981,1729,252,476,33
459,1980,1047,933,385,259,1,1063,624,439,536,470,66,93,6
871,4727,2511,2216,1182,1,0,1450,891,559,1323,1069,254,482,95
3455,17584,9238,8346,3310,3199,0,7450,4552,2898,4647,3899,748,623,236
4802,24774,13184,11590,5129,1657,1,10202,6078,4124,8868,6023,2845,2848,146
3414,17957,9559,8398,2951,2066,53,11167,6447,4720,5647,4370,1277,673,112
2157,10671,5766,4905,2012,909,2,5658,3422,2236,3232,2453,779,513,74
689,3414,1844,1570,677,824,0,1888,1157,731,860,771,89,80,3
371,1852,992,860,397,1152,0,1035,627,408,473,406,67,14,21
79,388,212,176,68,344,0,248,159,89,173,94,79,5,1
6,6,6,0,0,0,0,6,6,0,6,6,0,0,0
885,3930,2124,1806,661,555,5,2486,1480,1006,1111,960,151,424,42
1414,7478,3995,3483,1311,1223,0,4160,2459,1701,2497,1920,577,666,23
1178,5923,3119,2804,1264,468,0,2773,1648,1125,1794,1417,377,762,7
17464,88511,47321,41190,17473,12064,54,43387,26081,17306,27415,21338,6077,7857,707
17464,88511,47321,41190,17473,12064,54,43387,26081,17306,27415,21338,6077,7857,707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,10749,5677,5072,2139,1920,1,5534,3324,2210,2919,2411,508,589,162
170,922,482,440,277,920,1,242,169,73,337,221,116,27,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,669,347,322,174,183,0,217,140,77,166,143,23,85,0
1355,6564,3451,3113,1368,1887,25,3284,1981,1303,1995,1485,510,379,40
1748,9579,5181,4398,1902,1070,2,4592,2841,1751,2596,2202,394,1179,51
1661,7686,4078,3608,1577,2214,4,3426,2028,1398,2981,1976,1005,1206,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2648,13415,7169,6246,2565,860,5,6324,3757,2567,4694,3464,1230,1452,192
