No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
293,1730,903,827,252,0,0,1173,647,526,475,454,21,33,2
5,28,16,12,5,0,0,16,12,4,6,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1914,1007,907,397,257,0,1094,629,465,522,501,21,104,0
16,82,38,44,12,0,0,39,23,16,14,14,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,7434,3917,3517,1319,480,0,4028,2325,1703,2222,1693,529,713,18
494,2638,1420,1218,442,303,7,1450,873,577,908,656,252,439,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,3,4,2,0,0,4,1,3,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,827,453,374,195,113,0,266,183,83,423,232,191,320,9
449,2787,1523,1264,552,1211,93,1214,776,438,906,640,266,246,5
1262,7981,4256,3725,1623,1244,15,3085,1857,1228,2811,1931,880,1256,14
369,2566,1343,1223,515,633,4,1246,737,509,867,636,231,230,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,640,354,286,128,100,2,307,199,108,179,168,11,0,0
228,1244,666,578,270,372,0,674,378,296,349,328,21,156,0
86,688,400,288,72,38,0,371,265,106,388,213,175,350,0
531,2908,1584,1324,508,495,5,1614,935,679,833,677,156,128,23
878,5008,2621,2387,883,520,13,2283,1324,959,1844,1179,665,190,10
119,705,402,303,138,372,0,360,224,136,198,155,43,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,8788,4668,4120,1880,776,15,3824,2354,1470,3117,2010,1107,805,24
339,2016,1086,930,479,117,0,573,345,228,787,499,288,64,0
539,3537,1820,1717,748,116,0,1449,850,599,1416,858,558,287,6
381,2128,1145,983,323,205,0,1487,855,632,947,620,327,289,52
381,2207,1165,1042,371,749,31,1068,636,432,770,565,205,38,7
711,3860,2019,1841,587,43,0,2504,1420,1084,1190,914,276,136,2
635,3594,1942,1652,715,394,6,1300,837,463,1172,785,387,154,8
176,1018,556,462,119,108,1,699,405,294,477,280,197,19,0
211,1288,691,597,214,296,9,765,478,287,556,355,201,3,4
254,1468,812,656,263,296,0,922,545,377,510,371,139,4,16
15,98,51,47,15,14,0,65,37,28,23,21,2,0,0
390,2383,1252,1131,420,549,3,1479,830,649,812,601,211,49,4
426,2415,1289,1126,405,338,4,1110,686,424,736,589,147,5,6
218,1311,670,641,273,687,309,528,294,234,466,313,153,128,0
249,1709,921,788,281,514,14,908,566,342,419,401,18,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,3848,2073,1775,570,311,1,2402,1428,974,1516,1051,465,229,3
940,5785,3079,2706,986,851,6,3051,1859,1192,1816,1435,381,414,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,9436,5074,4362,1579,1033,5,5257,3167,2090,2552,2192,360,596,131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,4404,2298,2106,645,586,0,2930,1644,1286,1266,1006,260,206,17
888,5202,2751,2451,848,575,1,2858,1681,1177,1773,1286,487,235,25
225,1229,622,607,206,162,0,650,365,285,378,309,69,283,1
222,1268,703,565,193,254,0,777,482,295,393,342,51,183,6
85,673,360,313,125,155,0,322,224,98,182,179,3,170,0
695,3669,1889,1780,733,10,1810,1132,720,412,1217,825,392,443,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2676,1428,1248,425,409,180,1582,921,661,717,626,91,291,13
973,5944,3069,2875,1146,1539,4,2726,1649,1077,2273,1405,868,975,32
145,1044,551,493,187,673,13,657,404,253,313,243,70,39,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1392,757,635,223,516,2,809,515,294,400,313,87,9,102
