No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
19148,89259,47115,42144,16593,9664,22,33499,21132,12367,27674,21860,5814,12577,443
19148,89259,47115,42144,16593,9664,22,33499,21132,12367,27674,21860,5814,12577,443
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,5418,2876,2542,1012,1532,5,1868,1194,674,1858,1444,414,687,19
385,2257,1210,1047,377,122,0,1207,754,453,639,618,21,383,2
191,725,391,334,144,9,0,173,115,58,211,189,22,99,0
2386,10916,5836,5080,2119,1822,4,4175,2634,1541,3387,2769,618,1744,19
2226,9512,5093,4419,1552,907,0,3854,2431,1423,2800,2266,534,1612,31
845,4054,2161,1893,718,295,0,1227,769,458,1161,980,181,824,30
153,886,475,411,131,2,0,324,211,113,228,221,7,103,0
1431,7468,3991,3477,1501,841,4,2705,1766,939,1930,1687,243,852,21
395,1751,930,821,323,397,0,852,497,355,476,429,47,163,1
880,3986,2090,1896,724,260,0,1593,993,600,1444,1040,404,249,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,8227,4195,4032,1453,23,0,2790,1635,1155,2138,1783,355,1053,8
1456,6257,3302,2955,1196,314,1,2498,1559,939,2252,1643,609,1041,79
341,2018,1068,950,401,239,0,766,489,277,533,485,48,321,4
1071,4938,2566,2372,949,974,2,1717,1069,648,1603,1189,414,689,28
223,1240,662,578,219,60,1,429,260,169,304,275,29,159,10
2362,11139,5903,5236,2239,894,0,4494,2886,1608,4256,2862,1394,1650,151
657,3056,1546,1510,557,168,1,874,605,269,879,664,215,362,1
867,3709,1917,1792,695,759,4,1457,907,550,1061,895,166,392,18
369,1702,903,799,283,46,0,496,358,138,514,421,93,194,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28991,122239,64616,57623,23477,20478,37,52159,32520,19639,39254,31801,7453,17667,477
28991,122239,64616,57623,23477,20478,37,52159,32520,19639,39254,31801,7453,17667,477
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4019,16980,8839,8141,3669,1828,17,6891,4168,2723,5334,4360,974,2911,141
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679,7231,3850,3381,1412,633,2,3011,1946,1065,2644,2018,626,948,27
1271,5342,2853,2489,1053,459,0,2428,1533,895,1646,1353,293,407,11
1331,5439,2874,2565,1047,1460,2,2342,1399,943,1914,1514,400,770,11
272,1113,576,537,200,105,0,491,300,191,290,275,15,183,1
1227,5331,2846,2485,1011,1342,5,2550,1622,928,1709,1332,377,703,11
423,1656,898,758,235,157,1,932,549,383,523,444,79,137,0
458,1802,959,843,356,241,0,688,443,245,520,458,62,236,7
840,3386,1831,1555,595,431,0,1607,1000,607,939,858,81,442,6
693,2981,1578,1403,549,1412,2,974,661,313,864,744,120,371,1
244,962,496,466,114,0,0,626,358,268,318,266,52,75,1
710,3012,1593,1419,643,1554,1,1178,759,419,1098,739,359,597,1
407,1704,914,790,344,204,0,723,514,209,704,443,261,256,8
236,1054,561,493,194,29,0,482,331,151,322,254,68,200,0
733,3313,1704,1609,646,882,0,1301,760,541,1141,893,248,499,0
312,1332,681,651,295,310,1,565,361,204,347,309,38,71,1
2802,12043,6383,5660,2241,1691,2,4762,3077,1685,3488,2944,544,1603,17
136,596,307,289,113,0,0,294,199,95,170,162,8,141,0
872,3698,1978,1720,722,655,0,1698,1067,631,1163,944,219,596,80
154,659,354,305,114,53,0,392,211,181,169,152,17,43,4
