No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
14182,90092,46365,43727,17013,23061,137,48336,28702,19634,32298,21656,10642,8505,572
14182,90092,46365,43727,17013,23061,137,48336,28702,19634,32298,21656,10642,8505,572
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,8843,4591,4252,1622,2595,16,4766,2859,1907,3605,2348,1257,1050,91
168,1073,534,539,236,239,1,611,337,274,361,242,119,93,7
117,799,384,415,140,58,0,478,257,221,272,156,116,10,10
224,1462,769,693,265,574,0,861,511,350,450,355,95,76,14
505,3192,1704,1488,574,1158,2,1810,1075,735,1267,774,493,568,42
232,1545,784,761,215,6,0,1061,616,445,311,231,80,12,6
425,2810,1444,1366,540,1001,2,1534,901,633,957,672,285,229,19
1605,10315,5263,5052,2071,2037,10,5202,3113,2089,3681,2496,1185,983,62
36,205,108,97,47,205,0,68,49,19,56,47,9,43,0
323,1943,1024,919,333,211,3,992,603,389,860,503,357,177,22
224,1323,656,667,234,847,0,603,376,227,697,350,347,0,0
306,1627,835,792,234,177,0,898,545,353,434,381,53,124,10
358,2334,1179,1155,572,1250,4,855,542,313,669,540,129,92,3
84,466,236,230,80,218,0,306,176,130,95,88,7,4,1
500,3129,1598,1531,557,558,9,1960,1098,862,943,690,253,20,3
149,871,455,416,130,306,1,591,343,248,348,209,139,10,0
348,2008,1017,991,379,771,1,1079,617,462,829,502,327,138,17
47,284,143,141,67,273,7,137,80,57,123,67,56,8,0
252,1659,852,807,342,266,1,770,494,276,461,352,109,177,8
59,371,188,183,89,0,0,130,95,35,128,79,49,14,0
128,1093,556,537,250,342,0,428,256,172,324,266,58,21,7
266,1541,808,733,327,496,0,598,367,231,705,384,321,460,10
312,1937,1016,921,323,172,0,1095,647,448,620,446,174,357,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1009,506,503,222,481,0,344,206,138,453,257,196,295,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1125,592,533,218,618,45,669,416,253,370,256,114,21,11
