No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
28581,141039,72740,68299,28352,15409,3286,61390,38580,22810,42631,36337,6294,18522,487
28581,141039,72740,68299,28352,15409,3286,61390,38580,22810,42631,36337,6294,18522,487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,4595,2325,2270,951,1102,128,2009,1273,736,1630,1252,378,520,13
148,713,383,330,154,0,0,327,216,111,187,156,31,118,0
105,503,259,244,123,0,189,196,132,64,144,127,17,54,0
42,249,123,126,49,0,0,131,72,59,64,63,1,13,0
335,1750,883,867,353,19,0,810,534,276,491,445,46,310,0
725,3599,1838,1761,789,64,0,1535,927,608,1062,970,92,229,25
135,604,306,298,132,97,0,275,164,111,150,137,13,61,31
944,4594,2324,2270,918,131,11,2227,1334,893,1372,1191,181,660,51
109,617,316,301,105,0,0,372,218,154,172,165,7,68,0
3,16,7,9,2,0,0,5,3,2,4,4,0,4,0
114,462,228,234,74,103,77,180,118,62,129,116,13,64,1
69,313,165,148,69,51,25,167,106,61,88,85,3,56,0
1131,5361,2755,2606,1030,738,210,2283,1461,822,1729,1390,339,468,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,4983,2547,2436,1041,71,447,1961,1263,698,1562,1327,235,988,14
374,1790,911,879,360,206,154,803,509,294,591,435,156,157,0
513,2320,1154,1166,532,231,1,1185,725,460,651,596,55,196,0
235,1198,633,565,240,136,29,616,385,231,388,309,79,214,58
16,76,35,41,21,0,0,27,15,12,19,15,4,0,0
46,227,120,107,41,14,0,116,72,44,58,54,4,0,0
416,2283,1173,1110,489,144,0,699,473,226,612,510,102,301,7
277,1399,754,645,271,20,248,568,366,202,439,371,68,289,0
187,972,508,464,182,68,0,714,386,328,421,280,141,188,0
180,789,398,391,149,159,19,436,238,198,241,210,31,135,0
1079,5224,2697,2527,1105,707,0,2466,1479,987,1685,1329,356,537,68
232,1208,623,585,261,128,0,726,463,263,334,314,20,119,4
490,2470,1287,1183,530,127,99,1251,830,421,643,620,23,395,0
1627,8947,4633,4314,1818,478,122,3337,2159,1178,2871,2287,584,758,8
149,626,324,302,130,116,1,276,169,107,156,142,14,1,3
220,1007,512,495,176,131,180,584,344,240,328,260,68,214,26
754,3963,2076,1887,727,309,380,1805,1168,637,1144,1075,69,391,3
103,462,242,220,80,134,74,222,143,79,118,102,16,1,0
128,679,350,329,118,32,0,362,232,130,190,175,15,46,1
394,2097,1071,1026,496,145,0,826,511,315,542,484,58,290,1
894,4558,2342,2216,884,182,64,1867,1142,725,1332,1150,182,529,0
145,644,337,307,101,0,54,369,244,125,200,188,12,106,0
245,1166,606,560,135,119,2,856,495,361,341,287,54,154,0
91,418,218,200,90,68,0,182,116,66,104,104,0,96,0
793,3897,2056,1841,835,808,3,1343,893,450,1046,1020,26,613,3
82,390,204,186,76,0,0,132,88,44,116,104,12,104,0
102,512,261,251,114,0,0,72,43,29,127,117,10,117,0
113,659,346,313,114,21,0,300,193,107,188,185,3,177,0
355,1847,936,911,400,59,75,646,411,235,568,529,39,342,1
139,717,390,327,86,17,0,359,235,124,210,206,4,173,1
197,1019,540,479,161,40,0,421,261,160,327,301,26,120,24
271,1558,804,754,308,112,1,663,373,290,467,398,69,152,0
134,703,373,330,104,0,0,203,129,74,295,213,82,95,0
1165,6202,3164,3038,1272,791,4,2481,1584,897,1737,1568,169,857,22
728,3885,1957,1928,844,39,0,1402,909,493,1156,1013,143,464,8
648,3323,1724,1599,780,831,4,1187,767,420,921,845,76,511,6
729,3620,1876,1744,821,669,1,1188,785,403,1096,866,230,293,4
663,3566,1895,1671,722,235,0,1422,914,508,1008,937,71,544,2
223,1129,567,562,222,544,2,598,347,251,380,271,109,87,0
748,3465,1814,1651,806,842,4,1228,751,477,961,868,93,617,4
419,1854,956,898,334,113,106,1008,616,392,677,451,226,360,3
356,1491,744,747,321,245,1,599,403,196,421,365,56,168,3
81,363,188,175,86,301,0,135,74,61,90,84,6,67,0
454,1990,1030,960,387,342,7,925,585,340,764,578,186,121,2
233,1183,606,577,238,0,167,541,323,218,306,289,17,155,0
102,460,245,215,81,113,0,214,151,63,215,135,80,31,0
138,626,314,312,111,109,33,339,203,136,439,243,196,2,0
169,725,378,347,83,131,33,464,292,172,199,182,17,127,0
320,1590,822,768,299,110,0,659,462,197,441,422,19,229,1
327,1418,740,678,292,175,50,669,446,223,433,377,56,170,18
184,832,427,405,155,181,0,437,270,167,243,228,15,93,0
123,666,340,326,121,0,0,291,180,111,180,166,14,81,0
239,959,513,446,194,319,0,524,363,161,278,263,15,190,0
294,1412,755,657,242,293,85,709,459,250,377,355,22,233,0
319,1477,776,701,320,628,13,493,277,216,552,347,205,252,37
322,1599,854,745,288,177,0,768,482,286,428,401,27,294,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,962,489,473,167,0,0,298,197,101,253,236,17,83,0
549,2883,1511,1372,544,113,0,1258,775,483,797,656,141,605,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,197,93,104,46,58,48,92,49,43,69,53,16,12,0
88,317,182,135,45,46,0,222,139,83,99,87,12,0,0
203,881,456,425,150,118,63,479,304,175,227,205,22,159,0
634,2743,1418,1325,469,182,29,1489,906,583,811,763,48,330,5
131,691,347,344,108,9,10,325,193,132,205,186,19,158,0
377,1967,998,969,394,26,33,1062,626,436,633,480,153,247,19
530,2379,1188,1191,486,582,0,974,637,337,699,619,80,359,5
42381,208356,106454,101902,45750,12919,13552,80256,48416,31840,66751,51724,15027,26913,457
42381,208356,106454,101902,45750,12919,13552,80256,48416,31840,66751,51724,15027,26913,457
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1143,574,569,228,110,21,589,323,266,579,316,263,4,0
689,3603,1805,1798,913,269,122,1438,790,648,994,817,177,382,0
95,493,262,231,101,1,182,182,124,58,244,129,115,10,0
972,4584,2360,2224,1010,319,1212,2109,1279,830,1663,1092,571,361,8
362,1890,1010,880,468,0,28,396,263,133,464,432,32,125,1
221,1245,648,597,357,80,148,493,333,160,252,220,32,139,1
167,788,411,377,180,243,94,303,188,115,326,202,124,229,2
468,2278,1181,1097,503,24,462,965,611,354,994,642,352,295,0
964,4918,2483,2435,1058,57,2201,1383,851,532,2284,1245,1039,1032,4
742,3834,2008,1826,834,153,98,1321,820,501,1243,963,280,889,10
1006,5115,2546,2569,1309,260,674,1527,915,612,1636,1177,459,1227,6
29,151,80,71,28,0,0,86,51,35,34,32,2,14,0
381,2136,1105,1031,519,347,0,490,295,195,537,519,18,323,0
1513,8112,4256,3856,2041,206,777,2526,1553,973,2101,1767,334,1194,2
59,260,136,124,61,126,0,143,91,52,73,64,9,47,0
1014,5310,2743,2567,1249,373,647,2343,1497,846,2297,1408,889,172,9
151,603,307,296,126,98,11,255,173,82,372,191,181,148,0
455,2386,1219,1167,491,269,191,828,563,265,1169,721,448,332,4
313,1241,646,595,190,234,1,671,401,270,373,325,48,130,5
143,573,303,270,121,48,101,232,159,73,133,125,8,16,0
1666,8344,4233,4111,1908,406,103,2660,1573,1087,2301,2108,193,1554,6
1370,6796,3582,3214,1430,255,145,2632,1648,984,2100,1779,321,1165,3
116,558,285,273,107,31,0,225,141,84,146,140,6,0,0
45,227,113,114,29,0,0,103,52,51,45,38,7,12,0
153,688,343,345,153,0,59,132,95,37,297,146,151,4,1
877,3921,1996,1925,960,258,191,1146,685,461,1173,920,253,70,1
114,504,269,235,94,0,0,169,119,50,156,132,24,31,16
119,549,286,263,94,54,0,312,185,127,138,126,12,61,0
2311,10501,5370,5131,2231,726,304,4830,2789,2041,3013,2710,303,1651,29
423,2018,1030,988,462,4,0,915,582,333,495,475,20,181,0
118,663,356,307,157,18,0,245,149,96,179,177,2,34,0
452,2450,1291,1159,618,129,0,877,544,333,640,605,35,233,0
22,107,57,50,34,0,0,29,17,12,22,20,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,5096,2480,2616,1123,350,28,1842,1062,780,1318,1189,129,754,1
2160,11416,5762,5654,2821,359,412,4005,2325,1680,3873,2661,1212,1582,106
952,4512,2233,2279,1043,938,4,1461,853,608,1546,1153,393,738,18
232,1160,581,579,220,0,0,311,175,136,299,270,29,117,1
430,2151,1007,1144,419,18,0,768,404,364,538,479,59,94,0
380,1988,1022,966,442,283,156,879,524,355,599,513,86,417,1
1082,5082,2632,2450,1119,462,2,1655,1044,611,1579,1396,183,818,2
45,228,112,116,45,0,0,137,77,60,68,64,4,0,0
1047,4933,2509,2424,979,394,208,2010,1164,846,1315,1253,62,747,2
1471,6994,3609,3385,1559,577,0,2727,1680,1047,2059,1776,283,836,20
1743,8522,4326,4196,1809,96,325,3817,2263,1554,2747,2163,584,1234,26
1808,8472,4290,4182,1817,389,191,3123,1919,1204,2417,1977,440,114,6
1017,4943,2540,2403,1037,565,352,2086,1259,827,1446,1249,197,646,1
95,444,248,196,87,0,53,101,63,38,147,133,14,83,0
453,2141,1101,1040,441,229,73,922,552,370,580,509,71,261,4
169,808,418,390,179,339,0,340,213,127,294,215,79,131,0
178,846,456,390,202,99,41,293,199,94,211,190,21,135,0
115,494,263,231,114,145,50,242,152,90,168,133,35,77,0
269,1338,689,649,230,69,41,436,249,187,362,342,20,183,2
1451,7324,3779,3545,1499,399,787,3244,1922,1322,2756,1893,863,924,127
99,484,252,232,84,26,0,202,130,72,277,136,141,4,0
243,1201,614,587,272,108,300,329,223,106,353,311,42,152,1
62,325,169,156,54,34,249,119,73,46,89,81,8,87,0
907,4412,2234,2178,872,166,193,1897,1130,767,1747,1209,538,338,10
222,1127,595,532,229,0,4,531,322,209,311,242,69,50,0
1632,8108,4185,3923,1593,756,1344,3580,2234,1346,3307,2190,1117,1275,10
121,594,311,283,91,65,1,342,225,117,216,172,44,59,0
155,816,418,398,180,106,170,304,195,109,335,201,134,118,0
101,472,233,239,95,0,75,276,160,116,247,124,123,9,0
346,1581,773,808,339,79,77,637,418,219,466,371,95,19,0
195,937,476,461,195,86,0,426,247,179,223,199,24,118,0
260,1198,605,593,293,257,0,477,314,163,373,309,64,279,0
71,337,166,171,82,91,0,126,77,49,124,87,37,124,0
69,352,181,171,37,0,66,128,82,46,140,101,39,130,0
357,1615,828,787,331,34,36,637,375,262,488,419,69,280,0
113,599,301,298,141,0,0,187,116,71,162,156,6,12,0
12,58,27,31,21,0,0,12,9,3,13,13,0,6,0
232,1092,546,546,229,77,69,325,196,129,387,273,114,253,1
631,3275,1652,1623,722,19,0,1189,711,478,891,810,81,386,1
595,2918,1463,1455,583,35,13,1244,670,574,844,669,175,207,9
453,2044,1024,1020,357,32,0,1054,614,440,494,472,22,237,0
152,738,395,343,91,25,58,205,131,74,197,178,19,66,0
73,388,209,179,102,0,0,189,126,63,142,105,37,19,0
63,282,150,132,53,0,76,130,85,45,59,55,4,50,0
816,3922,2010,1912,854,114,326,1824,1075,749,1214,910,304,555,0
108,510,259,251,127,0,0,203,124,79,271,138,133,51,0
388,2090,1027,1063,474,0,0,729,396,333,586,472,114,69,0
54147,273323,140547,132776,57393,13663,14670,107622,64896,42726,95397,69090,26307,45861,874
54147,273323,140547,132776,57393,13663,14670,107622,64896,42726,95397,69090,26307,45861,874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2644,12757,6681,6076,2325,1335,624,6588,3856,2732,4132,3174,958,2227,120
1243,6059,3085,2974,1206,712,1669,2432,1481,951,2413,1533,880,1268,15
981,4668,2383,2285,750,231,1411,2289,1367,922,2167,1342,825,1112,25
96,447,210,237,71,3,322,162,98,64,290,146,144,3,0
432,1984,1031,953,266,79,411,1071,638,433,891,536,355,379,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1193,623,570,159,15,116,649,395,254,491,350,141,275,2
22,105,55,50,23,0,105,39,27,12,38,30,8,37,0
48,212,104,108,27,0,0,137,70,67,70,55,15,68,0
1212,5954,3069,2885,1206,297,1211,2370,1476,894,2270,1571,699,1130,6
1892,9825,5025,4800,2038,507,260,4178,2506,1672,2883,2421,462,1507,12
922,4778,2480,2298,961,23,0,1694,1024,670,1583,1250,333,884,3
2474,12284,6284,6000,2657,1211,340,4048,2478,1570,3795,2996,799,2162,42
689,3518,1797,1721,784,102,0,1441,840,601,1002,869,133,554,11
1140,6099,3136,2963,1311,167,10,2491,1445,1046,2295,1634,661,1550,1
337,1809,941,868,407,3,6,607,356,251,870,466,404,438,4
311,1763,927,836,374,374,24,573,353,220,796,487,309,182,0
576,2995,1567,1428,556,125,1137,1259,782,477,1510,916,594,625,0
70,389,189,200,63,0,182,231,128,103,182,95,87,15,5
136,654,335,319,114,0,285,271,175,96,247,187,60,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,167,84,83,29,0,123,47,32,15,109,56,53,78,0
91,421,215,206,101,50,324,137,81,56,200,122,78,179,0
51,238,119,119,55,0,57,81,50,31,136,69,67,75,0
313,1525,771,754,289,3,146,465,262,203,503,363,140,390,0
330,1775,932,843,368,0,138,760,448,312,534,444,90,315,5
368,1969,1020,949,411,95,1,644,385,259,525,490,35,388,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,4432,2296,2136,911,162,938,1988,1289,699,1441,1143,298,883,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,179,101,78,21,0,0,142,83,59,76,57,19,61,0
297,1389,710,679,271,0,65,608,372,236,612,385,227,253,3
734,3782,1974,1808,683,102,0,1454,871,583,1275,1097,178,876,1
308,1757,933,824,368,5,0,664,409,255,663,440,223,379,3
582,2864,1502,1362,633,0,0,1204,713,491,803,724,79,518,0
211,772,398,374,134,0,0,405,265,140,453,233,220,105,17
51,254,134,120,42,124,0,148,92,56,130,71,59,44,0
524,2558,1319,1239,570,231,55,899,533,366,883,660,223,527,7
502,2737,1533,1204,577,241,326,1127,799,328,1111,836,275,227,1
1814,9282,4781,4501,1803,241,173,3077,1909,1168,3574,2412,1162,959,52
240,1135,544,591,288,0,0,395,213,182,258,240,18,68,0
670,3617,1758,1859,892,12,0,1266,703,563,917,705,212,276,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776,9276,4799,4477,1983,369,174,3907,2325,1582,3430,2460,970,1521,5
555,2708,1386,1322,535,76,189,718,412,306,998,680,318,691,15
692,3550,1830,1720,766,18,17,1439,838,601,1157,791,366,613,2
415,2195,1138,1057,481,49,175,771,481,290,579,445,134,236,9
127,640,317,323,124,0,0,79,55,24,179,150,29,159,0
323,1667,860,807,463,15,40,545,344,201,669,444,225,344,0
46,199,98,101,49,0,0,100,60,40,77,54,23,21,0
