No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
2698,13744,7283,6461,3195,153,0,4398,2705,1693,5174,3312,1862,2604,24
1488,6641,3498,3143,1260,2296,9,2962,1781,1181,2774,1745,1029,1184,18
428,2058,1088,970,357,695,10,969,583,386,710,527,183,240,4
383,1927,1009,918,338,377,0,1020,651,369,531,482,49,248,20
102,431,232,199,65,170,0,328,180,148,161,122,39,85,1
138,776,405,371,177,0,0,388,214,174,173,169,4,122,0
548,2690,1450,1240,614,712,0,1214,751,463,984,660,324,553,2
504,2376,1219,1157,503,674,0,1032,636,396,973,578,395,269,0
187,736,393,343,147,174,0,320,208,112,341,192,149,228,0
1699,7944,4110,3834,1597,1886,51,3434,2117,1317,3554,2065,1489,1246,19
343,1332,675,657,286,541,36,504,295,209,579,346,233,248,12
1107,5335,2807,2528,1088,186,2,2341,1467,874,1773,1320,453,1052,9
566,2565,1320,1245,544,439,1277,785,514,271,1311,676,635,478,7
75,311,157,154,61,0,0,178,106,72,83,77,6,3,0
570,2524,1358,1166,403,1329,0,1459,907,552,1149,682,467,725,2
1402,6422,3324,3098,1435,432,140,2621,1639,982,2465,1591,874,1132,19
577,2711,1426,1285,587,0,0,1246,774,472,1214,758,456,420,2
1194,5930,3105,2825,1394,219,0,2453,1526,927,2579,1582,997,1201,4
760,4193,2195,1998,921,100,0,1797,1131,666,1715,1061,654,695,9
1307,5723,3014,2709,1081,562,1,2907,1784,1123,1862,1383,479,821,38
254,1082,592,490,175,15,1,553,379,174,551,309,242,34,1
30,150,81,69,33,0,0,72,50,22,73,36,37,1,0
78,388,209,179,102,0,0,175,126,49,156,80,76,0,0
43,231,118,113,45,0,0,78,42,36,58,53,5,1,0
89,477,255,222,109,152,0,151,114,37,120,105,15,6,0
192,934,491,443,239,717,0,243,155,88,432,239,193,42,0
63,329,167,162,60,0,0,115,74,41,168,86,82,0,0
429,2155,1181,974,445,677,0,882,565,317,762,578,184,165,0
367,1696,883,813,322,144,1,744,468,276,611,436,175,152,8
239,1171,586,585,273,51,0,496,297,199,496,312,184,111,0
433,2174,1093,1081,499,44,0,1009,582,427,1091,565,526,398,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,841,452,389,203,0,0,348,238,110,312,259,53,65,1
239,1268,673,595,215,0,0,784,481,303,668,358,310,3,0
1212,5787,3064,2723,1046,452,0,3037,1837,1200,2056,1524,532,661,3
1458,7234,3740,3494,1542,269,2,3311,2024,1287,2183,1769,414,573,3
351,1846,960,886,398,261,0,803,469,334,674,455,219,93,0
257,1363,713,650,293,148,280,412,260,152,655,368,287,150,1
2059,9868,5176,4692,2007,2002,179,4180,2631,1549,3545,2530,1015,2020,7
854,4011,2081,1930,864,275,1,1349,872,477,1904,1072,832,683,0
442,1977,1042,935,355,884,5,942,578,364,912,518,394,421,3
467,2154,1115,1039,407,767,0,971,593,378,968,577,391,281,11
427,2180,1110,1070,473,6,0,993,602,391,802,553,249,541,2
1527,7723,3977,3746,1707,1476,260,2745,1691,1054,3894,2101,1793,2026,122
349,1842,925,917,410,130,0,454,275,179,815,467,348,391,1
270,1419,724,695,313,0,0,529,309,220,393,343,50,296,0
293,1264,669,595,231,67,0,359,230,129,475,353,122,320,0
304,1537,814,723,313,501,0,681,429,252,649,419,230,364,0
2102,10422,5413,5009,2051,3670,868,4079,2530,1549,4862,2779,2083,2005,51
1983,9563,4957,4606,2038,2019,0,4043,2432,1611,3520,2381,1139,994,31
4794,25407,13234,12173,5769,1624,0,9400,5713,3687,9008,5944,3064,2379,40
736,3691,1882,1809,831,265,0,1368,843,525,1574,977,597,309,2
1230,5677,3059,2618,980,452,31,3068,1916,1152,1975,1457,518,340,6
124,537,274,263,92,308,0,336,190,146,252,142,110,3,0
1576,7231,3791,3440,1395,1120,4,3229,1972,1257,2450,1860,590,716,39
469,2142,1088,1054,408,31,0,1233,696,537,845,551,294,210,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,7541,3893,3648,1542,1253,4,3278,1940,1338,2424,1875,549,697,41
1391,7068,3686,3382,1374,328,14,3556,2113,1443,2324,1779,545,733,30
83,375,196,179,53,94,1,229,129,100,85,72,13,25,0
12,52,25,27,12,0,0,29,19,10,15,14,1,3,0
303,1529,780,749,286,0,0,723,467,256,393,352,41,6,0
1872,9549,4942,4607,2078,472,0,3855,2404,1451,3872,2314,1558,930,16
26,104,56,48,15,0,0,44,28,16,55,28,27,19,0
35,165,80,85,29,36,0,32,19,13,97,51,46,92,0
213,1141,598,543,198,3,0,636,394,242,395,279,116,20,0
364,1718,900,818,291,257,0,640,369,271,469,399,70,40,0
226,1079,578,501,195,658,3,351,230,121,615,318,297,26,0
328,1640,860,780,300,117,0,868,521,347,734,437,297,510,2
988,4880,2550,2330,966,780,0,1983,1277,706,2356,1326,1030,862,0
139,525,275,250,68,156,0,354,192,162,190,146,44,52,0
475,2525,1420,1105,395,124,0,1298,817,481,1389,842,547,460,0
1212,5976,3187,2789,1044,374,37,3231,1949,1282,2149,1574,575,629,49
1039,5502,2844,2658,1161,68,0,2719,1626,1093,2047,1270,777,256,47
618,3038,1575,1463,692,1,33,1315,798,517,1085,735,350,394,18
74,374,189,185,74,0,0,154,105,49,176,94,82,1,0
167,941,499,442,205,0,2,435,285,150,426,244,182,35,3
282,1424,756,668,275,81,0,681,403,278,448,349,99,137,29
108,658,342,316,139,212,0,290,177,113,172,160,12,109,0
562,3225,1681,1544,648,1244,7,1443,906,537,1369,813,556,524,0
46986,230835,120475,110360,45627,45963,3306,93584,58381,35203,106158,60679,45479,47810,1020
46986,230835,120475,110360,45627,45963,3306,93584,58381,35203,106158,60679,45479,47810,1020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,17181,9039,8142,3452,4547,238,6714,4228,2486,8100,4689,3411,4814,24
1215,5824,3081,2743,1048,873,13,2616,1643,973,3021,1685,1336,1905,10
331,1893,965,928,367,278,1,740,474,266,818,452,366,352,1
62,343,173,170,61,0,0,187,105,82,169,82,87,8,0
1997,8913,4615,4298,1737,2751,161,4182,2538,1644,4161,2349,1812,1923,12
1121,5517,2858,2659,1025,782,10,2419,1500,919,2662,1487,1175,1577,9
1782,8177,4311,3866,1313,2091,0,3971,2392,1579,3489,2157,1332,1474,67
1764,8873,4691,4182,1779,3080,414,3863,2405,1458,3756,2319,1437,2120,6
1577,7946,4099,3847,1442,3554,12,2945,1859,1086,4651,2468,2183,2511,3
283,1491,774,717,291,1023,1,254,171,83,1057,537,520,600,1
1667,7518,3913,3605,1363,1365,0,3605,2203,1402,3530,2034,1496,771,99
2167,11198,5826,5372,2179,1985,56,5011,3129,1882,4585,2819,1766,1613,159
156,692,370,322,112,0,0,422,269,153,466,247,219,221,35
3660,17198,9007,8191,3118,2143,414,6883,4443,2440,8298,4723,3575,4634,53
1538,7178,3698,3480,1309,2031,249,3189,1952,1237,3555,1904,1651,417,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,2593,1321,1272,484,1022,8,1071,670,401,1214,639,575,164,4
679,3577,1893,1684,725,1318,824,1469,937,532,1601,878,723,421,3
103,453,244,209,100,418,0,154,99,55,241,127,114,41,0
2505,11676,6072,5604,2308,1962,1,5750,3531,2219,4964,2975,1989,1620,40
1965,9946,5147,4799,2056,2902,7,4366,2622,1744,4735,2600,2135,1598,138
36,185,92,93,28,123,0,29,29,0,132,70,62,129,0
135,605,321,284,119,77,0,103,72,31,307,154,153,268,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,2366,1186,1180,494,914,0,1017,619,398,1248,639,609,391,0
1776,8038,4167,3871,1600,1618,0,3132,1914,1218,3683,2096,1587,1536,11
3558,18596,9718,8878,4273,968,0,6391,4057,2334,7577,4438,3139,2713,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1946,1019,927,297,229,0,1356,751,605,935,590,345,246,0
903,4274,2272,2002,734,782,8,1941,1216,725,2209,1229,980,974,4
382,1752,935,817,235,220,1,996,603,393,628,459,169,169,0
579,3013,1570,1443,574,292,0,818,494,324,1377,726,651,973,3
342,1597,822,775,328,3,0,507,327,180,844,453,391,592,3
424,2501,1286,1215,572,0,0,551,345,206,853,580,273,411,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1270,603,667,327,0,0,299,183,116,395,228,167,176,1
1812,9628,5030,4598,2160,753,304,3479,2139,1340,3938,2321,1617,1594,8
372,1978,1061,917,353,75,0,788,483,305,877,550,327,347,0
123,581,307,274,113,85,0,257,169,88,271,152,119,139,1
1411,7400,3908,3492,1595,301,7,1963,1374,589,3263,1819,1444,1806,16
455,2351,1191,1160,581,533,2,824,568,256,1114,566,548,511,3
1209,5799,3041,2758,1034,1795,15,2275,1397,878,2497,1524,973,1689,41
253,1349,710,639,307,247,0,297,201,96,721,370,351,362,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,901,464,437,182,18,172,266,176,90,478,276,202,308,53
58,311,165,146,83,0,0,20,16,4,163,79,84,46,0
75,379,192,187,76,0,0,129,76,53,184,93,91,46,0
129,623,316,307,180,277,0,114,77,37,242,147,95,105,9
71,325,174,151,70,0,0,40,25,15,211,108,103,172,0
15,77,42,35,22,77,0,3,2,1,38,21,17,35,0
145,644,333,311,146,110,0,335,208,127,312,167,145,262,45
305,1470,789,681,248,62,0,981,567,414,682,421,261,252,0
93,501,271,230,116,66,0,214,128,86,161,118,43,96,4
322,1731,918,813,312,43,0,795,492,303,765,389,376,388,1
670,3446,1828,1618,697,623,248,1248,825,423,1647,887,760,874,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,3406,1772,1634,748,602,52,1264,828,436,1633,852,781,612,77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,415,221,194,83,217,88,261,163,98,189,113,76,82,28
172,907,469,438,192,375,0,258,150,108,323,209,114,93,15
204,1024,526,498,216,347,0,376,248,128,535,291,244,277,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1259,659,600,263,6,0,446,289,157,653,373,280,352,4
81327,398977,207079,191898,83836,87098,18102,156596,95268,61328,165065,101988,63077,76318,1639
81327,398977,207079,191898,83836,87098,18102,156596,95268,61328,165065,101988,63077,76318,1639
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,425,206,219,118,0,0,115,61,54,192,94,98,183,0
3482,17647,9163,8484,3968,4661,707,6014,3615,2399,7287,4424,2863,4842,117
531,2840,1441,1399,682,1287,43,1130,670,460,1082,716,366,746,0
2336,10892,5652,5240,2367,4435,37,4462,2740,1722,4707,2913,1794,2526,40
83,402,208,194,104,0,0,146,97,49,186,102,84,76,1
1804,8556,4472,4084,1564,2018,178,3201,2039,1162,3587,2379,1208,1951,11
577,2740,1439,1301,520,102,2,1249,819,430,961,701,260,414,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,2750,1478,1272,516,870,0,1162,804,358,930,753,177,366,0
271,1106,591,515,230,0,0,590,373,217,579,311,268,165,28
927,3647,1862,1785,709,796,0,1814,1177,637,1392,966,426,591,1
362,1655,844,811,304,156,0,787,515,272,470,407,63,209,0
109,545,274,271,82,88,0,275,174,101,269,137,132,11,0
56,244,119,125,66,244,0,99,61,38,106,52,54,105,0
322,1568,773,795,393,591,0,506,270,236,416,369,47,273,0
665,3546,1844,1702,744,111,0,1659,990,669,1615,1013,602,569,24
358,1915,1014,901,424,21,0,836,515,321,632,522,110,112,28
485,2742,1434,1308,658,11,0,984,628,356,529,492,37,336,0
1144,6142,3182,2960,1441,3,0,2169,1298,871,1599,1376,223,658,2
396,2226,1142,1084,551,0,0,893,523,370,557,494,63,268,17
454,2523,1277,1246,615,0,0,1014,590,424,790,552,238,216,30
586,3431,1799,1632,809,0,0,1558,896,662,850,771,79,472,0
286,1492,761,731,353,235,0,728,423,305,395,354,41,269,62
927,4438,2310,2128,1061,673,0,1735,1035,700,1646,1059,587,879,10
899,3614,1831,1783,728,388,0,1326,822,504,1391,940,451,485,2
745,3802,1983,1819,845,892,0,1195,746,449,1237,839,398,516,0
508,2365,1207,1158,497,0,0,706,441,265,1106,631,475,286,9
818,4101,2162,1939,806,1069,0,1446,869,577,1452,958,494,730,20
492,2303,1202,1101,607,741,115,598,348,250,1105,582,523,156,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,3289,1723,1566,602,51,0,1359,787,572,1099,754,345,466,4
120,635,292,343,147,70,0,183,88,95,150,124,26,80,0
547,2566,1339,1227,459,214,0,1004,616,388,976,657,319,322,6
1154,5462,2757,2705,1155,642,0,2201,1258,943,2240,1379,861,1186,29
243,1361,722,639,316,29,0,406,245,161,405,327,78,262,1
1167,5637,2999,2638,1220,1449,0,2739,1644,1095,2178,1362,816,793,50
339,1627,825,802,367,299,0,578,325,253,671,376,295,312,0
260,1215,629,586,307,842,0,374,224,150,540,322,218,214,1
1312,6203,3245,2958,1273,2083,446,1640,982,658,2456,1584,872,1375,3
438,2199,1119,1080,460,887,121,749,454,295,1206,692,514,291,15
340,1607,833,774,368,374,7,467,293,174,608,390,218,247,3
1413,6859,3467,3392,1650,1232,600,1197,723,474,2730,1673,1057,1070,18
385,1994,1027,967,432,505,676,668,426,242,962,533,429,301,1
531,2569,1305,1264,539,586,879,931,549,382,1164,666,498,360,9
892,4272,2195,2077,925,726,278,1623,1001,622,1450,1090,360,715,0
540,2505,1321,1184,562,443,0,953,604,349,957,651,306,84,0
359,2087,1028,1059,511,0,0,614,339,275,601,439,162,170,0
383,2442,1232,1210,562,0,0,574,283,291,772,566,206,222,10
91,374,184,190,81,329,0,85,39,46,189,92,97,129,0
571,2812,1464,1348,694,108,266,784,488,296,977,695,282,589,0
2324,11823,6018,5805,2735,688,259,4099,2433,1666,4221,2848,1373,2027,26
1871,8909,4623,4286,1966,2340,289,3335,2010,1325,3617,2240,1377,1252,62
548,2856,1451,1405,530,985,1,1463,840,623,1434,734,700,393,6
2799,13579,7049,6530,2910,2645,11,5715,3535,2180,5789,3271,2518,3273,33
122,524,274,250,123,34,0,249,151,98,260,134,126,67,1
1578,7518,3861,3657,1489,697,0,3357,2064,1293,3469,1946,1523,906,54
802,3793,1929,1864,746,909,0,1902,1078,824,1332,917,415,602,13
2275,10038,5361,4677,1936,2496,48,4703,2861,1842,4054,2649,1405,1956,22
1049,4762,2480,2282,1053,1854,455,1940,1144,796,1867,1198,669,1030,15
776,3577,1849,1728,716,1320,304,1104,697,407,1785,943,842,978,2
267,1357,660,697,244,0,0,638,364,274,409,341,68,213,1
270,1209,583,626,279,3,0,363,224,139,440,280,160,257,8
1528,7384,3764,3620,1611,1525,12,2281,1368,913,3230,1850,1380,1269,7
618,2846,1487,1359,622,909,980,782,507,275,1221,725,496,1003,2
3193,14671,7703,6968,2771,2095,216,7602,4454,3148,4839,3618,1221,1985,236
1767,8365,4388,3977,1486,1366,469,4717,2677,2040,2845,2126,719,931,80
65,328,169,159,77,0,0,136,81,55,128,71,57,43,5
1269,5984,3068,2916,1145,314,0,2724,1638,1086,2680,1687,993,1250,7
105,480,261,219,99,0,148,103,66,37,141,106,35,0,0
607,2886,1517,1369,681,1789,125,896,611,285,1694,883,811,51,3
1309,6265,3297,2968,1234,1331,783,2747,1632,1115,2454,1571,883,785,71
677,2998,1527,1471,651,610,381,1498,832,666,1374,756,618,749,8
913,4809,2479,2330,1041,1729,1442,1696,1044,652,1891,1229,662,673,1
3796,18462,9531,8931,3872,6103,2815,6897,4208,2689,9157,4960,4197,6381,42
779,3928,2011,1917,844,1595,563,1387,873,514,1902,1025,877,1469,15
1444,7698,4027,3671,1508,648,932,3330,1937,1393,3538,2030,1508,2032,104
692,3290,1684,1606,732,1087,692,996,604,392,1485,765,720,1325,0
763,3565,1877,1688,639,413,233,1809,1109,700,1456,983,473,469,6
1048,5001,2599,2402,1262,2989,141,1546,937,609,2567,1350,1217,1664,9
1602,7603,3964,3639,1456,1978,124,3438,2141,1297,3591,2081,1510,1586,23
1564,8080,4228,3852,1635,2666,164,3384,2142,1242,3704,2064,1640,1129,13
1563,7388,3773,3615,1473,2497,70,2533,1588,945,2782,1759,1023,966,12
1601,7914,4172,3742,1708,1749,367,2848,1779,1069,3255,2048,1207,1366,55
1629,9124,4849,4275,1730,2393,97,3636,2472,1164,4894,2589,2305,1045,12
1156,5892,3124,2768,1027,1499,474,2360,1479,881,2764,1567,1197,904,8
1258,6945,3639,3306,1520,1704,212,2917,1785,1132,3481,1857,1624,1983,56
61,299,157,142,53,116,0,62,45,17,162,84,78,111,0
120,620,336,284,121,170,0,283,173,110,328,171,157,299,0
3469,18835,9934,8901,3719,3591,940,7594,4778,2816,9426,5253,4173,4298,55
78809,386508,200411,186097,84036,31893,2797,150574,90029,60545,140891,94627,46264,57968,1456
78809,386508,200411,186097,84036,31893,2797,150574,90029,60545,140891,94627,46264,57968,1456
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,5114,2636,2478,1165,22,0,2273,1424,849,2285,1289,996,601,0
336,1459,785,674,297,55,32,514,334,180,454,416,38,28,3
3416,15813,8160,7653,3182,1827,134,7111,4242,2869,4844,3848,996,1809,139
1544,7585,3960,3625,1687,10,0,2913,1615,1298,1737,1617,120,1188,6
311,1414,748,666,294,35,0,507,316,191,652,354,298,352,4
550,2697,1381,1316,567,0,0,1018,595,423,761,613,148,475,0
2353,11190,5808,5382,2353,3204,11,3982,2411,1571,4851,2894,1957,1966,14
3083,12923,6765,6158,2420,1009,182,5368,3412,1956,6141,3606,2535,2193,123
577,2401,1248,1153,382,177,0,1416,850,566,1249,662,587,39,0
8,40,20,20,6,0,39,12,9,3,17,8,9,0,0
221,863,442,421,105,169,0,459,266,193,355,226,129,61,0
990,4717,2511,2206,866,621,1,2235,1465,770,1933,1189,744,981,14
965,4544,2388,2156,827,86,1,2297,1468,829,1808,1203,605,801,3
1210,5882,3059,2823,1124,481,25,2542,1619,923,2476,1592,884,1433,11
134,688,363,325,129,0,0,149,93,56,236,185,51,5,0
670,2850,1464,1386,470,351,41,1391,856,535,992,700,292,442,1
904,4281,2259,2022,723,842,2,1969,1232,737,1961,1199,762,1211,32
1295,6019,3166,2853,1030,264,176,2917,1750,1167,2058,1563,495,1067,1
353,1594,835,759,422,1389,0,512,352,160,721,382,339,65,0
1041,4516,2397,2119,839,807,175,2027,1204,823,1917,1254,663,734,42
678,3988,2136,1852,914,0,0,1468,943,525,1625,998,627,700,46
496,2700,1378,1322,491,223,1,1057,662,395,1109,752,357,809,5
3324,16497,8543,7954,3256,271,0,6431,3648,2783,5356,3924,1432,2265,39
479,2254,1138,1116,474,60,0,774,437,337,748,595,153,237,5
186,948,497,451,216,0,0,340,212,128,380,244,136,102,1
1142,6117,3150,2967,1456,0,0,2427,1433,994,2314,1494,820,597,2
1066,4968,2538,2430,1157,358,1,1827,1122,705,1821,1206,615,639,3
2311,11584,5974,5610,2615,891,1,4598,2741,1857,4529,2881,1648,1705,7
182,921,493,428,248,0,0,338,203,135,383,230,153,58,0
444,2066,1098,968,447,38,0,824,481,343,586,509,77,473,2
1563,8046,4163,3883,1841,1140,51,2969,1752,1217,2413,1878,535,1112,9
466,2315,1227,1088,550,331,21,848,512,336,1027,635,392,171,1
668,3277,1675,1602,705,115,154,1130,625,505,1304,828,476,347,52
261,1122,591,531,237,15,0,431,279,152,357,273,84,172,1
1361,7082,3661,3421,1671,331,0,2595,1520,1075,2411,1708,703,968,3
129,704,366,338,178,0,0,295,176,119,184,154,30,34,1
152,670,339,331,156,340,0,297,177,120,258,160,98,91,0
2431,12499,6482,6017,2985,7,0,4528,2778,1750,3836,2806,1030,1342,20
410,2096,1077,1019,521,89,0,732,430,302,683,488,195,239,0
