No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
70512,351773,183366,168407,69628,56721,4047,151540,94432,57108,143675,89655,54020,50575,1443
70512,351773,183366,168407,69628,56721,4047,151540,94432,57108,143675,89655,54020,50575,1443
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,7995,4220,3775,1605,590,1,4049,2498,1551,2849,1973,876,1101,30
633,3182,1675,1507,642,164,18,1577,962,615,1251,812,439,408,9
62,326,185,141,56,59,0,104,82,22,140,86,54,120,0
176,955,477,478,179,0,0,279,159,120,520,264,256,213,3
52,248,124,124,72,246,1,3,1,2,122,60,62,70,0
81,433,229,204,107,206,151,135,75,60,214,108,106,90,0
2305,11329,5806,5523,2209,1370,13,5381,3140,2241,4480,2865,1615,1474,140
559,2597,1359,1238,545,759,1,1214,756,458,1273,690,583,68,1
832,4079,2081,1998,737,773,2,2307,1301,1006,1491,1049,442,593,25
1354,6825,3592,3233,1198,792,0,3958,2337,1621,2424,1775,649,686,77
1228,5925,3104,2821,1018,881,2,2498,1610,888,2376,1601,775,535,12
1887,9317,4785,4532,2033,165,0,3114,1983,1131,3704,2244,1460,1436,20
1045,4950,2560,2390,920,786,1,2401,1459,942,2364,1390,974,1245,149
858,4446,2321,2125,917,1896,6,1787,1073,714,1918,1074,844,502,13
407,1779,908,871,296,646,3,991,597,394,1016,549,467,195,0
1986,10756,5571,5185,2195,1507,18,5382,3221,2161,4233,2626,1607,728,73
225,1138,577,561,217,24,0,578,363,215,509,273,236,350,1
1406,7481,3903,3578,1570,1105,531,3566,2089,1477,2876,1778,1098,807,14
1317,7333,3748,3585,1781,946,3,3147,1829,1318,2459,1571,888,693,11
164,958,489,469,267,0,0,375,238,137,219,206,13,110,1
965,4967,2590,2377,1146,1557,3,1597,1039,558,1490,1098,392,695,10
148,701,365,336,126,151,1,239,155,84,307,162,145,108,0
144,683,366,317,169,556,0,172,117,55,338,174,164,2,24
306,1653,865,788,335,214,0,681,458,223,607,415,192,252,0
587,2823,1422,1401,592,749,2,1133,687,446,1238,768,470,331,3
371,1731,905,826,312,369,1,767,470,297,504,440,64,185,0
890,4088,2089,1999,829,44,0,1842,1166,676,1531,1100,431,427,1
980,4785,2545,2240,940,927,1,2153,1349,804,1967,1268,699,774,17
494,2538,1291,1247,501,386,12,855,539,316,830,578,252,398,0
438,2124,1122,1002,423,95,0,972,636,336,755,562,193,128,4
333,1705,883,822,417,0,0,670,442,228,590,394,196,219,0
465,2524,1311,1213,509,830,21,1049,659,390,909,571,338,368,5
5448,26588,13800,12788,5376,5157,334,12750,8002,4748,9704,6653,3051,3666,131
1958,9067,4834,4233,1653,1156,599,4236,2791,1445,4038,2458,1580,824,54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,5809,3000,2809,1147,769,1,2676,1764,912,2747,1518,1229,1520,76
1398,6428,3326,3102,1284,1217,306,2555,1598,957,2748,1610,1138,1000,3
7,32,15,17,8,0,0,11,8,3,8,8,0,0,0
41,173,91,82,34,0,0,65,45,20,46,44,2,21,0
2539,12110,6314,5796,2378,1581,615,5177,3325,1852,4780,2966,1814,1577,22
1877,9017,4787,4230,1676,1640,153,3878,2489,1389,3956,2299,1657,1946,8
2341,12149,6328,5821,2404,2168,3,4480,2843,1637,5946,3275,2671,1656,53
2868,14128,7396,6732,2753,1093,2,5778,3620,2158,5084,3421,1663,542,43
1532,7923,4149,3774,1630,1669,61,2519,1624,895,3542,2075,1467,1396,3
2009,10747,5546,5201,2187,1412,265,5105,3109,1996,4664,2774,1890,1327,29
4297,21121,10983,10138,4271,3450,355,7956,5045,2911,8754,5306,3448,3769,37
673,3316,1751,1565,563,617,6,1529,936,593,1393,891,502,700,2
1008,4554,2421,2133,755,1708,4,2104,1283,821,2034,1284,750,497,7
492,2340,1270,1070,447,356,0,1121,760,361,1178,721,457,476,7
1095,5079,2617,2462,954,1303,0,2004,1274,730,2132,1289,843,673,12
1029,5012,2655,2357,885,480,0,2309,1498,811,1973,1309,664,641,7
1910,9608,5019,4589,1876,1791,11,4738,2825,1913,4005,2442,1563,2059,23
1656,9374,4907,4467,2203,1569,0,2988,1882,1106,3545,2290,1255,1583,147
1203,6019,3180,2839,1212,0,0,1919,1232,687,2880,1619,1261,1592,21
449,2212,1175,1037,337,459,0,879,531,348,1038,534,504,478,2
489,2551,1361,1190,465,574,1,969,635,334,1369,785,584,739,1
725,3863,1971,1892,717,1446,2,1517,919,598,1871,1073,798,524,35
1563,8534,4385,4149,1559,1191,0,4098,2509,1589,3792,2359,1433,661,12
882,4320,2252,2068,908,563,0,1561,1043,518,1553,1115,438,420,2
1684,8236,4318,3918,1614,1018,3,3454,2142,1312,3035,2073,962,1532,23
232,957,520,437,149,310,2,573,335,238,432,282,150,104,10
320,1477,785,692,285,343,369,676,430,246,699,384,315,523,0
506,2285,1211,1074,375,159,143,1033,642,391,1177,615,562,676,0
2344,11831,6216,5615,2191,2604,20,4923,3168,1755,5147,3031,2116,1831,28
516,2539,1315,1224,469,125,0,983,635,348,901,628,273,311,2
79993,396364,206539,189825,82411,68534,6109,165019,100720,64299,157260,100611,56649,61729,1264
79993,396364,206539,189825,82411,68534,6109,165019,100720,64299,157260,100611,56649,61729,1264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,6615,3502,3113,1423,2961,215,2948,1826,1122,2774,1596,1178,575,12
440,2165,1120,1045,474,1201,164,845,472,373,978,512,466,605,29
815,4126,2160,1966,865,1643,367,1480,873,607,1836,1084,752,844,7
437,2218,1147,1071,515,0,0,944,533,411,874,592,282,363,1
3062,14498,7566,6932,2990,4339,48,6091,3494,2597,6300,3724,2576,3707,32
1391,7038,3614,3424,1424,1721,1086,2632,1601,1031,3242,1832,1410,1076,113
84,346,186,160,51,0,0,238,132,106,172,84,88,1,2
368,1830,942,888,405,68,0,876,535,341,900,465,435,301,11
1067,5399,2814,2585,1067,1894,7,2307,1450,857,2599,1437,1162,1293,26
194,894,436,458,285,752,0,131,65,66,407,209,198,343,0
1846,9139,4579,4560,1769,2339,14,4354,2483,1871,3252,2284,968,1837,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,2902,1461,1441,611,1161,0,1004,602,402,1209,744,465,677,16
275,1667,862,805,335,625,0,775,443,332,647,409,238,324,42
253,1150,592,558,231,428,0,523,293,230,434,284,150,302,3
1025,5035,2628,2407,1092,2255,402,1841,1132,709,2080,1249,831,1500,7
615,3386,1761,1625,577,1361,0,1550,924,626,1883,1001,882,740,10
639,3297,1697,1600,619,1213,4,1271,784,487,1382,862,520,646,3
1113,5937,3096,2841,1276,1618,0,2232,1357,875,3015,1582,1433,789,18
180,900,463,437,166,38,0,494,298,196,274,213,61,99,7
1369,7513,3824,3689,1765,118,0,2731,1640,1091,2652,1746,906,1055,35
1501,7438,3898,3540,1721,1486,13,2833,1783,1050,2345,1686,659,1113,7
3216,16207,8417,7790,3234,3863,187,6460,3962,2498,6509,4278,2231,2909,38
284,1646,868,778,365,103,0,511,336,175,732,464,268,362,1
305,1475,796,679,305,240,0,518,322,196,580,399,181,274,0
1863,9260,4799,4461,2077,935,1,3126,1930,1196,3725,2311,1414,1416,12
646,3440,1801,1639,805,0,0,1251,807,444,1133,852,281,527,19
1225,5674,2941,2733,1228,442,342,1381,843,538,2027,1357,670,1183,11
