No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
16030,78246,40148,38098,15178,9078,29,34397,22341,12056,30913,18887,12026,8874,762
16030,78246,40148,38098,15178,9078,29,34397,22341,12056,30913,18887,12026,8874,762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,12420,6451,5969,2292,1983,14,6027,3692,2335,4435,3072,1363,922,43
2518,11581,5888,5693,2275,658,0,5059,3257,1802,4696,2929,1767,1843,112
224,1025,520,505,202,171,1,520,352,168,476,263,213,127,16
372,1736,919,817,332,163,0,811,561,250,689,481,208,111,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,528,258,270,78,21,0,237,149,88,229,118,111,185,2
170,817,413,404,172,67,0,258,160,98,270,190,80,238,0
127,647,334,313,142,104,0,185,128,57,212,153,59,99,0
2868,12448,6336,6112,2307,1176,1,5599,3698,1901,4109,2673,1436,1039,19
700,3532,1862,1670,679,928,1,1509,994,515,1498,907,591,522,22
329,1903,980,923,309,95,0,1023,673,350,1053,600,453,360,4
785,4262,2172,2090,944,380,0,2070,1330,740,1835,991,844,483,27
1647,8667,4425,4242,1738,974,5,3127,2078,1049,3819,2154,1665,1081,85
46,193,110,83,47,0,0,109,72,37,52,47,5,0,2
120,658,334,324,127,98,0,139,102,37,173,148,25,27,0
47,310,143,167,54,118,0,114,92,22,179,88,91,58,2
1037,5879,3010,2869,1223,398,0,2384,1635,749,2432,1370,1062,439,133
80,420,225,195,78,80,0,231,152,79,216,114,102,85,2
206,1229,645,584,220,636,0,641,421,220,516,273,243,27,20
473,2742,1411,1331,547,583,0,1107,708,399,1209,628,581,14,9
682,3745,1934,1811,782,169,7,1754,1114,640,1763,921,842,937,152
725,3504,1778,1726,630,276,0,1493,973,520,1052,767,285,277,14
36097,182075,94277,87798,38362,35834,428,81567,49632,31935,60226,42973,17253,21375,512
36097,182075,94277,87798,38362,35834,428,81567,49632,31935,60226,42973,17253,21375,512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,7688,4051,3637,1410,1272,3,4599,2682,1917,2381,1826,555,662,5
759,3878,2018,1860,800,1036,0,1973,1200,773,1141,804,337,189,8
102,481,255,226,85,2,0,229,145,84,214,115,99,13,0
341,1649,865,784,329,235,0,803,497,306,524,444,80,153,18
1137,5143,2728,2415,880,1825,47,2770,1716,1054,1456,1191,265,507,13
4,20,9,11,4,0,0,8,2,6,4,4,0,0,0
364,1751,921,830,352,254,0,726,461,265,615,421,194,287,0
271,1371,699,672,324,466,11,701,395,306,522,315,207,136,12
132,632,342,290,101,142,0,415,261,154,178,163,15,106,2
195,1196,614,582,231,171,0,523,345,178,336,300,36,168,2
369,2099,1117,982,411,455,0,1070,697,373,688,551,137,269,3
15,80,42,38,16,0,0,27,21,6,51,34,17,34,0
71,374,188,186,75,0,0,185,108,77,184,93,91,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,697,372,325,119,145,0,193,115,78,208,192,16,105,0
41,218,113,105,42,19,0,103,69,34,55,46,9,10,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,2545,1326,1219,479,961,0,942,641,301,913,644,269,18,3
98,816,427,389,116,295,0,486,284,202,279,199,80,91,0
68,296,179,117,61,11,0,131,98,33,153,80,73,6,0
12,52,26,26,18,24,0,17,12,5,25,13,12,5,0
58,284,153,131,72,253,0,54,40,14,108,63,45,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,1,2,2,0,0,0,0,3,2,1,2,0
394,2145,1169,976,414,551,1,1070,696,374,594,545,49,176,4
743,4237,2188,2049,858,671,2,2078,1285,793,1907,1015,892,589,2
1005,4787,2523,2264,948,883,2,2490,1524,966,1850,1206,644,506,5
224,963,491,472,166,404,0,534,327,207,413,246,167,220,3
135,670,359,311,100,83,0,396,252,144,198,188,10,79,1
181,802,409,393,125,87,0,543,309,234,261,192,69,192,4
858,4036,2124,1912,819,300,0,1841,1188,653,1510,1006,504,772,13
519,2232,1174,1058,420,564,9,917,601,316,608,559,49,18,6
510,2695,1378,1317,552,746,0,1180,749,431,899,686,213,602,0
510,2805,1428,1377,563,896,11,1117,708,409,903,684,219,667,4
491,2313,1235,1078,391,347,0,921,596,325,626,554,72,454,4
1246,6971,3622,3349,1706,1521,83,2252,1376,876,2371,1580,791,848,13
589,2643,1391,1252,499,140,0,1298,793,505,698,627,71,259,0
1121,5118,2671,2447,915,1024,0,2629,1606,1023,1853,1310,543,710,32
205,918,488,430,175,205,0,445,282,163,250,237,13,106,2
496,2207,1131,1076,598,120,1,728,430,298,697,502,195,372,0
231,1105,591,514,199,491,0,581,329,252,477,266,211,183,0
866,4623,2341,2282,988,994,5,2108,1173,935,1795,1074,721,184,4
160,795,415,380,179,0,0,260,143,117,329,187,142,12,1
1104,5905,2949,2956,1359,410,0,2336,1334,1002,1713,1284,429,483,5
538,2738,1432,1306,624,181,0,958,591,367,721,666,55,460,1
910,4244,2219,2025,810,1087,7,2212,1338,874,1419,1054,365,378,0
726,3076,1566,1510,538,483,4,1422,878,544,1185,783,402,641,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,845,425,420,171,0,0,154,104,50,216,145,71,149,0
777,4046,2088,1958,1051,5,0,1267,730,537,1001,872,129,272,1
723,3616,1860,1756,844,659,11,1371,877,494,1074,826,248,88,1
61,303,167,136,63,0,0,171,110,61,124,65,59,76,0
80,422,194,228,106,0,0,188,96,92,84,72,12,16,0
103,568,282,286,124,0,0,250,157,93,239,125,114,171,1
357,1791,940,851,346,0,0,960,660,300,620,411,209,331,2
458,2110,1102,1008,400,382,0,975,638,337,535,497,38,236,1
430,2268,1161,1107,479,765,1,1117,670,447,633,520,113,278,8
1057,4774,2417,2357,939,1528,0,2189,1401,788,1779,1187,592,1036,14
699,3489,1802,1687,614,388,0,1975,1199,776,1266,913,353,283,28
414,1959,1037,922,413,666,151,871,536,335,541,486,55,190,2
250,1085,545,540,261,0,0,256,171,85,490,278,212,214,0
40,179,85,94,27,0,0,117,65,52,50,40,10,3,0
630,3216,1621,1595,657,759,0,1329,801,528,1271,712,559,169,0
1016,4853,2541,2312,912,2222,12,2348,1431,917,2322,1338,984,502,23
114,601,297,304,107,0,0,223,136,87,228,147,81,127,0
222,969,506,463,205,365,0,567,331,236,344,233,111,4,2
55,274,148,126,56,39,0,128,82,46,129,82,47,0,0
206,1153,586,567,202,264,0,704,394,310,428,276,152,103,6
113,577,298,279,112,307,14,303,186,117,197,131,66,3,3
258,1421,722,699,343,1057,19,446,315,131,402,312,90,156,0
167,741,373,368,147,49,0,346,218,128,221,184,37,121,0
334,1597,852,745,348,529,1,784,499,285,592,432,160,48,0
706,3858,1923,1935,856,741,0,1683,959,724,1263,879,384,526,2
183,823,420,403,161,298,0,378,227,151,401,208,193,58,39
658,3613,1861,1752,943,928,6,1529,912,617,952,765,187,296,0
538,3151,1599,1552,869,0,0,1336,770,566,825,626,199,300,2
752,4065,2110,1955,995,802,6,1482,851,631,1112,843,269,526,4
947,5396,2803,2593,1286,86,0,2164,1258,906,1351,1151,200,574,27
211,1243,629,614,328,0,0,602,354,248,299,280,19,45,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1103,573,530,288,0,0,404,219,185,332,230,102,4,2
181,958,471,487,201,855,1,321,204,117,330,206,124,142,0
56,330,165,165,93,170,0,81,45,36,133,81,52,15,0
122,800,401,399,226,0,0,302,160,142,284,160,124,114,1
397,2160,1123,1037,509,0,0,848,503,345,738,433,305,533,25
393,2241,1132,1109,581,0,0,884,519,365,657,484,173,308,17
573,3439,1778,1661,843,0,0,1437,820,617,1182,753,429,482,106
58,255,138,117,65,4,0,113,75,38,79,71,8,38,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,3694,1883,1811,790,1165,1,1549,942,607,1066,873,193,807,3
105,443,233,210,81,415,9,67,42,25,124,108,16,100,1
362,1695,910,785,359,620,10,776,464,312,733,418,315,93,0
152,648,333,315,88,10,0,301,204,97,264,169,95,69,0
57430,286456,148676,137780,58388,54770,3871,132193,82429,49764,112993,70778,42215,48418,1394
57430,286456,148676,137780,58388,54770,3871,132193,82429,49764,112993,70778,42215,48418,1394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,1778,926,852,420,577,5,575,395,180,779,454,325,4,0
97,379,207,172,78,210,0,168,115,53,194,98,96,0,0
1068,4412,2298,2114,694,577,4,2913,1684,1229,1520,1137,383,233,5
507,2558,1326,1232,509,1507,0,1066,709,357,1060,617,443,19,0
208,901,456,445,160,106,0,386,233,153,173,158,15,10,0
752,3305,1725,1580,618,1341,0,1436,935,501,1367,821,546,457,0
361,1892,966,926,425,149,0,499,318,181,663,436,227,576,0
408,1976,1040,936,346,679,1,799,523,276,782,460,322,542,7
298,1347,689,658,309,0,0,667,414,253,582,356,226,142,1
815,4104,2108,1996,1011,950,0,1737,1079,658,1532,961,571,195,3
936,4415,2288,2127,790,514,1,2067,1301,766,1581,1158,423,3,6
1242,5870,3083,2787,1090,614,110,3104,1963,1141,2487,1423,1064,345,2
755,4086,2139,1947,825,269,269,2084,1303,781,1893,976,917,697,5
676,3673,1899,1774,744,1260,26,1543,994,549,1561,894,667,935,6
2282,11338,5886,5452,2485,1071,19,4482,2967,1515,5027,2784,2243,2525,164
